"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Jasper","MO","Joplin",478,806,0.0100250626566416,0.038659793814433,0.0732356857523302,25236
2017-09-30,"Bossier","LA","Shreveport",479,1240,-0.00401606425702811,-0.00561347233360064,-0.0205371248025276,41462
2017-09-30,"Parker","TX","Dallas-Fort Worth",480,1570,0.0129032258064516,0.0445775116433799,0.0579514824797844,40424
2017-09-30,"Skagit","WA","Mount Vernon",481,1656,0.00975609756097561,0.0324189526184539,0.13037542662116,46707
2017-09-30,"Clarke","GA","Athens",482,1140,0.00440528634361234,0.00529100529100529,0.0160427807486631,31118
2017-09-30,"Linn","OR","Albany",483,1277,0.00630417651694247,0.0142970611596505,0.0713087248322148,30281
2017-09-30,"Jefferson","NY","Watertown",484,1195,0.00167644593461861,-0.0220949263502455,-0.00250417362270451,26013
2017-09-30,"Lycoming","PA","Williamsport",485,950,0.00635593220338983,-0.0155440414507772,-0.0677134445534838,32121
2017-09-30,"Canadian","OK","Oklahoma City",486,1195,0,0,-0.0378421900161031,49602
2017-09-30,"Sheboygan","WI","Sheboygan",487,1107,-0.00806451612903226,-0.020353982300885,0.0118829981718464,34032
2017-09-30,"Kendall","IL","Chicago",488,1863,-0.00160771704180064,0.00377155172413793,0.0125,37920
2017-09-30,"Harnett","NC","Dunn",489,1104,0,0.00546448087431694,0.015639374425023,23828
2017-09-30,"Wayne","OH","Wooster",490,1180,0.00340136054421769,0.00940975192472198,0.0207612456747405,29999
2017-09-30,"Wilson","TN","Nashville",491,1668,0.0060313630880579,0.0109090909090909,-0.00950118764845606,40263
2017-09-30,"Warren","KY","Bowling Green",492,1133,0.0017683465959328,-0.000881834215167548,0.00088339222614841,29577
2017-09-30,"Kankakee","IL","Kankakee",493,1162,0.000861326442721792,-0.00428449014567267,0.00432152117545376,34833
2017-09-30,"Faulkner","AR","Little Rock",494,994,0.00811359026369168,0.0268595041322314,-0.00500500500500501,36100
2017-09-30,"Saint Lawrence","NY","Ogdensburg",495,1191,-0.0148883374689826,-0.010797342192691,-0.065149136577708,27246
2017-09-30,"Terrebonne","LA","Houma",496,1119,-0.00797872340425532,-0.00444839857651246,0.0738963531669866,28110
2017-09-30,"La Porte","IN","Michigan City",497,973,-0.0423228346456693,-0.0880974695407685,-0.116257947320618,66346
2017-09-30,"Douglas","KS","Lawrence",498,1265,-0.0178571428571429,-0.0416666666666667,-0.069168506254599,26829
2017-09-30,"Macon","IL","Decatur",499,924,0.0131578947368421,0.0358744394618834,0.056,40493
2017-09-30,"Carroll","GA","Atlanta",500,989,0.0102145045965271,0.0206398348813209,0.0248704663212435,40126
2017-09-30,"Clark","IN","Louisville/Jefferson County",501,1091,-0.000915750915750916,-0.0153429602888087,0.0664711632453568,61433
2017-09-30,"Tom Green","TX","San Angelo",502,1208,-0.0106470106470106,-0.0194805194805195,0.0245971162001696,30482
2017-09-30,"Missoula","MT","Missoula",503,1442,-0.00207612456747405,0.0112201963534362,0.0809595202398801,32491
2017-09-30,"Lowndes","GA","Valdosta",504,943,0,0.00212539851222104,0.0064034151547492,28761
2017-09-30,"Warren","NJ","Allentown",505,1629,-0.00122624156958921,-0.00972644376899696,-0.0216216216216216,36226
2017-09-30,"Comal","TX","San Antonio",506,1736,0.00404858299595142,0.0122448979591837,0.0829694323144105,41140
2017-09-30,"Columbiana","OH","Salem",507,883,0.00340909090909091,0.0196304849884527,0.0388235294117647,32105
2017-09-30,"Bay","MI","Bay City",508,853,0.00235017626321974,-0.0206659012629162,0.0203349282296651,37975
2017-09-30,"Eaton","MI","Lansing",509,1125,-0.00706090026478376,-0.0105540897097625,-0.0351629502572899,40478
2017-09-30,"Androscoggin","ME","Lewiston",510,1225,-0.00162999185004075,0.0328836424957841,0.0957066189624329,29099
2017-09-30,"Douglas","OR","Roseburg",511,998,0.0070635721493441,-0.002,0.0628328008519702,31792
2017-09-30,"Sumter","SC","Sumter",512,816,0.0099009900990099,0.0136645962732919,0.0277078085642317,49796
2017-09-30,"Navajo","AZ","Show Low",513,1131,-0.00088339222614841,0.000884955752212389,0.00354924578527063,25965
2017-09-30,"Brunswick","NC","Myrtle Beach",514,1280,0.00234925606891151,0.0102604577742699,-0.00311526479750779,60598
2017-09-30,"Ascension","LA","Baton Rouge",515,1577,-0.00253004427577483,-0.014375,0.0253576072821847,33794
2017-09-30,"Saline","AR","Little Rock",516,1159,0.00695047784535187,0.0166666666666667,0.048868778280543,36628
2017-09-30,"Henderson","NC","Asheville",517,1349,0.000741839762611276,0.0204236006051437,0.0274181264280274,38546
2017-09-30,"Fayette","GA","Atlanta",518,1857,0.00487012987012987,0.0254003313086692,0.0923529411764706,37740
2017-09-30,"Allen","OH","Lima",519,934,0.00646551724137931,0.0297684674751929,0.0275027502750275,32196
2017-09-30,"Hardin","KY","Elizabethtown",520,1040,0.00677637947725073,0.0196078431372549,0.051567239635996,29477
2017-09-30,"DeKalb","IL","Chicago",521,1316,0.00765696784073507,0.0345911949685535,0.0154320987654321,26935
2017-09-30,"Saint Marys","MD","California-Lexington Park",522,1609,0.0081453634085213,0.005625,0.0241884150222788,42639
2017-09-30,"Etowah","AL","Gadsden",523,852,-0.00699300699300699,-0.0229357798165138,-0.00467289719626168,31706
2017-09-30,"Bonneville","ID","Idaho Falls",524,1129,0.00534283170080142,0.0291704649042844,0.0492565055762082,30950
2017-09-30,"Berkeley","WV","Hagerstown",525,1213,0.00999167360532889,0.0244932432432432,0.021043771043771,34473
2017-09-30,"Craven","NC","New Bern",526,1019,0.00691699604743083,0.0272177419354839,0.0303336703741153,34166
2017-09-30,"Kaufman","TX","Dallas-Fort Worth",527,1538,-0.000649772579597141,0.0131752305665349,0.0512645249487355,33929
2017-09-30,"Whitfield","GA","Dalton",528,1023,0.0019588638589618,0.0138751238850347,0.0460122699386503,27038
2017-09-30,"Miami","OH","Dayton",529,838,-0.0164319248826291,-0.067853170189099,-0.203422053231939,34932
2017-09-30,"Cowlitz","WA","Longview",530,1357,0.00667655786350148,0.00967261904761905,0.0718799368088468,30196
2017-09-30,"Walworth","WI","Whitewater",531,1387,-0.00430725053840632,0.00434467776973208,0.0760279286268425,46390
2017-09-30,"Woodbury","IA","Sioux City",532,1000,-0.0108803165182987,-0.0128331688055281,0.00401606425702811,32671
2017-09-30,"Fond du Lac","WI","Fond du Lac",533,927,0.0606407322654462,0.0944510035419126,0.0486425339366516,36630
2017-09-30,"Tompkins","NY","Ithaca",534,1601,0.0165079365079365,0.0396103896103896,-0.0430364614465033,17711
2017-09-30,"Houston","AL","Dothan",535,946,0.00211864406779661,0.012847965738758,0.0665163472378805,28438
2017-09-30,"Ashtabula","OH","Ashtabula",536,914,0,-0.00327153762268266,-0.0276595744680851,32511
2017-09-30,"Franklin","MO","St. Louis",537,877,0.0209545983701979,0.0428061831153389,0.0440476190476191,58848
2017-09-30,"Adams","PA","Gettysburg",538,1281,0.00391849529780564,0.00786782061369001,0.0297427652733119,59000
2017-09-30,"Cecil","MD","Philadelphia",539,1337,0,-0.0269286754002911,-0.0470420527441197,42206
2017-09-30,"Pennington","SD","Rapid City",540,1295,0,-0.0106951871657754,0.00543478260869565,29348
2017-09-30,"Bartow","GA","Atlanta",541,1116,0.00995475113122172,0.0342910101946247,0.0866601752677702,39090
2017-09-30,"Newton","GA","Atlanta",542,1086,0.00742115027829314,0.0140056022408964,0.0752475247524752,42738
