"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Pend Oreille","WA","Spokane",1585,1320,0.00380228136882129,0.00609756097560976,0.0688259109311741,4161
2017-09-30,"Glades","FL",,1586,1248,0,0.00321543408360129,0.00321543408360129,2273
2017-09-30,"Franklin","ID","Logan",1587,1096,0,0.0101382488479263,0.0883813306852036,2867
2017-09-30,"Blackford","IN",,1588,734,-0.00271739130434783,0.0110192837465565,0.0110192837465565,4500
2017-09-30,"Shoshone","ID",,1589,842,0.0120192307692308,0.0420792079207921,0.024330900243309,5722
2017-09-30,"Amelia","VA","Richmond",1590,1193,0.00420875420875421,0.0196581196581197,0.0311149524632671,7280
2017-09-30,"Terry","TX",,1591,986,0,0.0081799591002045,0.0175438596491228,3502
2017-09-30,"Marshall","IL","Peoria",1592,1075,0.000931098696461825,0.0208926875593542,-0.0324032403240324,5165
2017-09-30,"Crawford","GA","Macon",1593,1079,0.00559179869524697,0.0140977443609023,0.046556741028128,2574
2017-09-30,"Powell","KY",,1594,847,0.00118203309692671,-0.00117924528301887,0.0180288461538462,2285
2017-09-30,"Charlotte","VA",,1595,1176,0.00944206008583691,0.0270742358078603,0.0379523389232127,3597
2017-09-30,"Prowers","CO",,1596,1030,0.0137795275590551,0.0279441117764471,0.0414560161779575,2514
2017-09-30,"Union","IA",,1597,936,0.012987012987013,0.0469798657718121,0.105076741440378,1235
2017-09-30,"Todd","KY",,1598,867,-0.00344827586206897,-0.00573394495412844,0.0224056603773585,2721
2017-09-30,"Stone","AR",,1599,917,0.00218579234972678,0.0188888888888889,0.0326576576576577,3776
2017-09-30,"Northampton","VA",,1600,1338,0.00904977375565611,0.0136363636363636,-0.037410071942446,2508
2017-09-30,"Falls Church City","VA","Washington",1601,2913,-0.00478305432183123,-0.00546261522703995,-0.0191919191919192,4133
2017-09-30,"Northumberland","VA",,1602,1456,0.00413793103448276,-0.00205620287868403,-0.0221625251846877,3950
2017-09-30,"Gates","NC","Virginia Beach",1603,1163,0.011304347826087,0.0237676056338028,0.0130662020905923,2168
2017-09-30,"Poquoson City","VA","Virginia Beach",1604,1681,-0.000594530321046373,-0.0029655990510083,0.010823812387252,5060
2017-09-30,"Archuleta","CO",,1605,1606,0.00879396984924623,0.0448926480156148,0.0822102425876011,3798
2017-09-30,"Pulaski","GA","Warner Robins",1606,900,0.00111234705228031,0.0022271714922049,-0.00552486187845304,3200
2017-09-30,"Sierra","NM",,1607,830,-0.00598802395209581,-0.0212264150943396,-0.0130796670630202,1649
2017-09-30,"Rio Grande","CO",,1608,1183,0.00595238095238095,0.0163230240549828,0.0432098765432099,5737
2017-09-30,"Heard","GA","Atlanta",1609,884,-0.00562429696287964,0.0102857142857143,0.00568828213879408,5524
2017-09-30,"Iron","MI",,1610,835,0.00723763570566948,0.027060270602706,0.0516372795969773,6747
2017-09-30,"Custer","MT",,1611,1007,-0.00494071146245059,0.00499001996007984,0.110253583241455,3197
2017-09-30,"Big Horn","WY",,1612,914,-0.0129589632829374,-0.0108225108225108,-0.0548086866597725,3931
2017-09-30,"Fergus","MT",,1613,935,-0.00106837606837607,-0.00743099787685775,-0.0714995034756703,3581
2017-09-30,"Lake","MI",,1614,836,0.00360144057623049,0.00966183574879227,0.0170316301703163,5050
2017-09-30,"Live Oak","TX",,1615,1125,-0.00177462289263532,-0.00618374558303887,-0.0122914837576822,1263
2017-09-30,"Owyhee","ID","Boise City",1616,1131,0.00712377560106857,0.0244565217391304,0.0864553314121038,1663
2017-09-30,"Ramsey","ND",,1617,1116,-0.00178890876565295,0.0420168067226891,0.0304709141274238,2793
2017-09-30,"Sanders","MT",,1618,906,0.00332225913621262,0.0089086859688196,0.0122905027932961,2080
2017-09-30,"Jefferson","MT","Helena",1619,1145,-0.00087260034904014,0.0168738898756661,-0.00087260034904014,1413
2017-09-30,"Lancaster","VA",,1620,1367,0.00219941348973607,-0.00364431486880466,0,5196
2017-09-30,"Hancock","IA",,1621,878,0.0115207373271889,0.0317273795534665,0.0045766590389016,4750
2017-09-30,"Chattahoochee","GA","Columbus",1622,929,0.00107758620689655,-0.0010752688172043,0.0345211581291759,677
2017-09-30,"Green","KY",,1623,841,0.00238379022646007,-0.00118764845605701,0.00960384153661465,3138
2017-09-30,"Essex","VA",,1624,1203,0.00417362270450751,0.00753768844221105,-0.023538961038961,5141
2017-09-30,"Mackinac","MI",,1625,968,0.0136125654450262,0.0221752903907075,-0.0152594099694812,2615
2017-09-30,"Barnes","ND",,1626,966,0,0.024390243902439,0.274406332453826,2828
2017-09-30,"Skamania","WA","Portland",1627,1559,0.00710594315245478,0.0169602087410307,0.0512474713418746,5214
2017-09-30,"Red Willow","NE",,1628,956,0.00631578947368421,0.00843881856540084,-0.044,2924
2017-09-30,"Evans","GA",,1629,1078,0.00465983224603914,0.0160226201696513,0.0944162436548223,2121
2017-09-30,"Monroe","KY",,1630,835,0,-0.00119617224880383,0.0516372795969773,1511
2017-09-30,"Middlesex","VA",,1631,1390,0.00288600288600289,-0.000718907260963336,0.00433526011560694,6698
2017-09-30,"Johnston","OK",,1632,742,0.0040595399188092,-0.00536193029490617,-0.035110533159948,2142
2017-09-30,"Rains","TX",,1633,1242,-0.00080450522928399,0.0008058017727639,-0.0289288506645817,2077
2017-09-30,"Winnebago","IA",,1634,878,0.00688073394495413,0.00342857142857143,-0.037280701754386,3959
2017-09-30,"Owen","KY",,1635,975,-0.00204708290685773,0.0114107883817427,0.00827300930713547,1912
2017-09-30,"Carroll","KY",,1636,963,0.00417101147028154,0.0277481323372465,0.0536105032822757,2752
2017-09-30,"Tunica","MS","Memphis",1637,823,0.0098159509202454,0.0135467980295567,-0.0190703218116806,2852
2017-09-30,"Clay","TX","Wichita Falls",1638,1157,0.000865051903114187,0.014022787028922,0.0229885057471264,3321
2017-09-30,"Montgomery","IA",,1639,881,0.0080091533180778,0.0304093567251462,0.0126436781609195,3550
2017-09-30,"Ward","TX",,1640,1002,0.00400801603206413,0.00703517587939699,-0.0328185328185328,3830
2017-09-30,"Franklin","TX",,1641,1338,-0.00223713646532438,-0.00372300819061802,-0.0476868327402135,3654
2017-09-30,"Wilkes","GA",,1642,1032,0.0078125,-0.000968054211035818,0.00291545189504373,2639
2017-09-30,"Lincoln","WA",,1643,1179,-0.00253807106598985,0.0051150895140665,0.0333041191936897,5095
2017-09-30,"Marion","TX",,1644,1256,-0.00711462450592885,-0.0156739811912226,-0.0426829268292683,3272
2017-09-30,"Nowata","OK",,1645,699,0.00575539568345324,0.00431034482758621,-0.08984375,1922
2017-09-30,"Blanco","TX",,1646,1675,0,0.00419664268585132,-0.0312319259687681,1979
2017-09-30,"Towns","GA",,1647,1233,0.00407166123778502,0.0123152709359606,0.0335289186923722,5694
2017-09-30,"Yellow Medicine","MN",,1648,1145,0.00615114235500879,-0.001743679163034,-0.00348128807658834,2862
2017-09-30,"Holt","NE",,1649,1008,0.0120481927710843,0.0161290322580645,-0.0279652844744455,1655
2017-09-30,"Roosevelt","MT",,1650,1010,0.00597609561752988,0.0253807106598985,0.122222222222222,1251
2017-09-30,"Sac","IA",,1651,876,0.0022883295194508,0.020979020979021,-0.0690754516471838,3734
2017-09-30,"Juab","UT","Provo",1652,1424,0.00140646976090014,0.00564971751412429,0.110764430577223,2954
2017-09-30,"McCormick","SC",,1653,1278,0.00550747442958301,0.0167064439140811,0.0314769975786925,2048
2017-09-30,"Teton","ID","Jackson",1654,1364,0.0118694362017804,0.00962250185048113,0.1,1763
2017-09-30,"Jones","NC","New Bern",1655,877,0.01036866359447,0.0197674418604651,0.0197674418604651,2285
2017-09-30,"Marshall","KS",,1656,802,0.00880503144654088,0.0255754475703325,0,3359
2017-09-30,"Metcalfe","KY","Glasgow",1657,864,0.00348432055749129,0.00115874855156431,0.0224852071005917,2297
2017-09-30,"Carbon","MT","Billings",1658,1177,0.00684345594525235,0.0415929203539823,0.0415929203539823,3550
2017-09-30,"Lanier","GA","Valdosta",1659,958,-0.00104275286757039,0.00524658971668416,0.0180658873538789,2581
2017-09-30,"Cumberland","VA",,1660,1181,0.000847457627118644,0.00596252129471891,-0.0295809367296631,4962
2017-09-30,"White Pine","NV",,1661,1031,0.00487329434697856,0.0248508946322068,0.08870116156283,1583
2017-09-30,"Cheyenne","NE",,1662,1054,0.00572519083969466,-0.00472143531633617,-0.0409463148316652,2747
2017-09-30,"Dimmit","TX",,1663,988,-0.00202020202020202,-0.00503524672708963,0.0185567010309278,2610
2017-09-30,"Brown","KS",,1664,804,0.00878293601003764,0.0441558441558442,0.0551181102362205,3253
2017-09-30,"Camden","NC","Elizabeth City",1665,1315,0.00766283524904214,0.0289514866979656,0.0579243765084473,3087
2017-09-30,"Humboldt","IA",,1666,877,0.01036866359447,0.0269320843091335,-0.0320088300220751,4333
2017-09-30,"Stevens","MN",,1667,1122,-0.000890471950133571,0.000892060660124889,0.00178571428571429,2807
2017-09-30,"Rock","MN",,1668,1115,-0.00535236396074933,-0.0210711150131694,-0.00976909413854352,3613
2017-09-30,"Calhoun","IA",,1669,830,0.0134310134310134,0.0259579728059332,-0.0492554410080183,4826
2017-09-30,"Linn","KS","Kansas City",1670,797,0.00377833753148615,-0.00375,-0.0397590361445783,3299
2017-09-30,"Pratt","KS",,1671,761,0,0.00928381962864721,-0.00522875816993464,3462
2017-09-30,"Alger","MI",,1672,1068,0.00659754948162111,0.0190839694656489,0.0450097847358121,3689
2017-09-30,"Wilkinson","GA",,1673,948,0.00211416490486258,0.00530222693531283,0.0304347826086957,2050
2017-09-30,"Cloud","KS",,1674,724,0.0097629009762901,0.0372492836676218,0.0584795321637427,3523
2017-09-30,"Livingston","KY","Paducah",1675,834,0,0.00120048019207683,0.0283600493218249,2155
2017-09-30,"Morgan","UT","Ogden",1676,2243,0.00133928571428571,-0.00708277999114653,0.208512931034483,2674
2017-09-30,"Caldwell","MO","Kansas City",1677,781,0.00644329896907216,0.0156046814044213,-0.00509554140127389,5087
2017-09-30,"Love","OK",,1678,839,0.002389486260454,0.00119331742243437,0.0219244823386114,4563
2017-09-30,"Mitchell","TX",,1679,1021,-0.0106589147286822,-0.00584225900681597,0.0108910891089109,1539
2017-09-30,"Terrell","GA","Albany",1680,918,-0.00325732899022801,-0.00433839479392625,0.0326209223847019,2597
2017-09-30,"Deer Lodge","MT",,1681,792,0.00380228136882129,-0.00251889168765743,-0.0282208588957055,3163
2017-09-30,"Clarke","IA",,1682,936,0.00214132762312634,-0.00106723585912487,-0.0219435736677116,2410
2017-09-30,"Benewah","ID",,1683,1145,0.0114840989399293,0.0428051001821494,0.0988483685220729,3853
2017-09-30,"Richmond","VA",,1684,1213,0.00747508305647841,0.0159128978224456,-0.00410509031198686,1843
2017-09-30,"Brewster","TX",,1685,1358,0.00369549150036955,0.00592592592592593,0.0172284644194757,2327
2017-09-30,"Hamilton","NE","Grand Island",1686,1055,0.0144230769230769,0.0272638753651412,-0.0294388224471021,2974
2017-09-30,"Montgomery","GA","Vidalia",1687,1082,0.00278035217794254,0.0074487895716946,0.0660098522167488,1680
2017-09-30,"Stillwater","MT",,1688,1177,0.00341005967604433,0.0351802990325418,0.0837937384898711,1473
2017-09-30,"Clear Creek","CO","Denver",1689,1799,0.00558971492453885,0.0262407301768397,0.0327210103329506,5133
2017-09-30,"Archer","TX","Wichita Falls",1690,1330,0.00453172205438067,0.00987091875474563,0.00226073850791258,1787
2017-09-30,"Mathews","VA","Virginia Beach",1691,1379,0.00145243282498184,-0.00361271676300578,-0.0496209510682288,1971
2017-09-30,"Dawson","MT",,1692,1046,0.00770712909441233,0.0224828934506354,0.082815734989648,2206
2017-09-30,"Turner","GA",,1693,921,0.00217627856365615,0.00876232201533406,0.0406779661016949,1709
2017-09-30,"Benton","IN","Lafayette-West Lafayette",1694,828,0.00485436893203883,0.0072992700729927,-0.00719424460431655,3044
2017-09-30,"Trimble","KY","Louisville/Jefferson County",1695,1047,-0.00380589914367269,-0.000954198473282443,0.0125725338491296,2065
2017-09-30,"Clearwater","ID",,1696,1195,0.00589225589225589,0.0178875638841567,0.0556537102473498,2091
2017-09-30,"Seminole","GA",,1697,882,0.00570125427594071,0.0208333333333333,0.0196531791907514,2838
2017-09-30,"Oscoda","MI",,1698,779,0.00645994832041344,0.0236530880420499,0.015645371577575,4787
