"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Gwinnett","GA","Atlanta","13","135",26,,,,,,,,1947.5,1800,1699,1800,1750,1900,1800,1895,2000,1850,1800,1800,1872.5,1795,1795,1700,1750,1800,1700,1750,1750,1800,1800,1700,1650,1675,1700,1600,1650,1700,1700,1700,1695,1695,1650,1650,1650,1625,1550,1500,1495,1500,1517.5,1550,1650,1605,1695,1625,1700,1700,1700,1700,1700,1710,1839,1820,1805.5,1860,1950,1900,1850,1900,1887,1855,1850,1850,1895,1895,1895,1895,1825,1750,1850,1857,1895,1895,1850,1850,1900,1950,1900,1895,2000,1995,1962.5
"Collin","TX","Dallas-Fort Worth","48","085",27,,,,,,,,,,,,,2199.5,2290,2195,2300,2295,2300,2200,2297.5,2197,2200,2199,2200,2100,2050,2200,2295,2200,2250,2300,2250,2300,2300,2297.5,2095,2150,2100,2195,2290,2250,2299,2300,2300,2200,2272.5,2397.5,2395,2300,2300,2350,2447.5,2462.5,2450,2400,2422.5,2386.5,2395,2400,2450,2495,2450,2495,2600,2697.5,2550,2500,2600,2750,2550,2597.5,2572.5,2547.5,2600,2500,2500,2647.5,2625,2725,2572.5,2495,2498.5,2495,2495,2485,2495,2500,2499.5,2570,2500,2500,2575
"Suffolk","MA","Boston","25","025",28,,,,,,,,,,,,,,,,,,,,,,,,3900,3650,3800,3900,3900,3900,3800,3800,3900,3875,3850,4000,4200,4000,3972.5,3900,3900,3900,3900,3750,3800,3900,4000,4100,4200,4200,4200,4200,4000,3995,3850,3850,3900,4000,3975,4200,4400,4275,4200,4000,4000,3995,3900,3850,3800,3750,4000,4200,4500,4500,4400,4250,4200,4097.5,4000,4000,4000,4000,3900,4400,4600,4500,4500,4500,4450,4350,4300,4300,4295
"San Mateo","CA","San Francisco","06","081",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,4000,4500,4500,3750,3500,3270,3675,3300,3500,3427,3750,3500,3350,3425,3275,3050,3197.5,2950,2797.5,2800,3200,3700,3972.5,3800,4000
"Cobb","GA","Atlanta","13","067",30,,,,,,,,,,2400,2225,2325,2400,2000,2200,2250,2300,2300,2222.5,2300,2300,2125,2025,2000,1999,2197.5,2100,2000,2150,2400,2200,2000,1950,2000,1970,1950,2000,1850,1900,1997.5,1950,1900,1950,1925,1900,1795,1945,2000,1972.5,1995,2000,2200,2200,2250,2100,2029.5,2200,2200,2100,2090,2200,2150,2200,2100,2195,2200,2200,2200,2300,2197.5,2000,2200,2300,2200,2400,2300,2272.5,2295,2250,2275,2100,2200,2300,2100,2100,2200,2250,2210,2182,2375,2300,2395
"San Joaquin","CA","Stockton","06","077",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1700,1620,1795,1675,1662.5,1672.5,1795,1800,1832,1850,1922.5,1745,1750,1872,1650,1650,1695,1695,1697.5,1700,1950,1995,1950,1847.5,1850,2150,1950,2000,2225,2300,2197.5,1950,2200,2300,2295,2250,2275,2350,2395,2400,2250
"Norfolk","MA","Boston","25","021",32,,,,,,,,,,,,,,,,,,,,,,,,,3950,4000,3800,4200,4000,3950,3300,3200,3695,3700,3700,3795,3800,3800,3800,3997.5,4000,3975,3850,3700,3600,3699.5,3900,4199,4450,4500,4500,4200,4490,4500,4500,4500,4200,4000,4000,4000,4100,4000,4000,4000,3975,3800,3747.5,3797.5,3747.5,4000,4200,4800,4800,4600,4375,4500,4500,4200,4500,4500,4295,4200,4297.5,4600,4600,4375,4475,4500,4375,4450,4425,4500
"Denton","TX","Dallas-Fort Worth","48","121",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067.5,2850,2700,2622.5,2490,2662.5,2400,2400,2450,2750,2499.5,2600,2599.5,2575,2725,2537.5,2395,2650,2550,2575,2500,2847.5,3145,2695,2795,2950,2625,2622.5,2750,2650,2595,2595,2675,2675,2700,2740,2775,2700,2795,2800
"El Paso","CO","Colorado Springs","08","041",34,,,,,,,,,,,,,1695,1995,1850,1700,1795,1600,1600,1600,1599.5,1650,1650,1625,1500,1700,1925,1795,1697,1650,1650,1650,1662.5,1600,1650,1685,1650,1695,1725,1700,1685,1600,1600,1695,1650,1650,1691.5,1650,1650,1650,1695,1795,1795,1797.5,1800,1795,1750,1697.5,1700,1700,1750,1798,1850,1895,1900,1800,1895,1872.5,1800,1772.5,1750,1750,1700,1800,1812.5,1900,1800,1872.5,1897.5,1749,1800,1850,1900,1950,1950,1995,2097.5,2100,2100,2000,2000,2000
"Fort Bend","TX","Houston","48","157",35,,,,,,,,,,,,,,,,,,,2750,2750,2900,2850,2925,2900,2900,3000,2850,2925,3200,3200,3100,3000,2950,2995,3000,3000,3399,3000,3100,3000,2750,2875,2800,2775,2725,2800,2900,3000,2900,2995,2925,3000,3250,3175,3000,2900,2800,2800,2900,2800,2900,2980,3195,3100,3225,3400,3260,3200,3350,3450,3300,3150,3100,3100,3100,2975,3000,3000,3050,3000,2950,2995,2950,2887.5,2800,2800,2750,2800,2800,2800,2850,2800
"Virginia Beach City","VA","Virginia Beach","51","810",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2200,2250,2150,2200,2100,2125,2200,2200,2100,2095,2200,2300,2395,2250,2100,1995,2100,2295,2100,1900,2040,2100,2275,2300,2347.5,2300,2195,2347.5,2295,2200,2200,2297.5,2100,2150,2395,2395,2295,2125,2100,2097.5,2100,2100,2100,2200,2250,2495,2400,2350,2250,2395,2372.5,2347.5,2297.5,2095,2100,2250,2200,2275,2195,2500,2400,2450,2337.5,2367.5
"Cherokee","GA","Atlanta","13","057",37,,,,,,,,,,,,,,,,,,,,,,,,,,,2275,2250,2000,2000,1895,1995,1995,1900,1847.5,1800,1800,1950,2100,2100,2050,1945,1995,1947.5,1895,1897.5,1897.5,1750,1750,1750,1750,1800,1800,1750,1750,1800,1825,1945,1897,1872.5,1800,1785,1750,1750,1777,1800,1850,1837.5,1750,1800,1839,1800,1874.5,1787.5,1872.5,1895,1850,1885,2000,1965,2000,1807.5,1875,1800,1824.5,1800,1950,1865,1922.5,1973.5,1987.5,1895
