"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"02467","Brookline","MA","Boston","Norfolk",210,,,,,,,,,,,,,1850,1850,1885,1850,1980,1850,1905,1870,1885,1885,1920,1950,2020,1995,1945,1955,2060,2065,2100,2070,2040,2045,2095,2105,2130,2095,2100,2147.5,2145,2160,2200,2240,2200,2270,2300,2250,2245,2247.5,2270,2265,2220,2265,2300,2300,2300,2300,2300,2312.5,2312.5,2365,2355,2370,2340,2340,2352.5,2350,2340,2340,2535,2422.5,2425,2470,2400,2510,2510,2600,2520,2700,2730,2530,2600,2690
"10005","New York","NY","New York","New York",211,,,,,,,,,,,3495,3562.5,3425,3297.5,3250,3295,3443,3400,3357,3430.5,3500,3500,3445,3395,3444,3400,3319,3350,3300,3216,3237.5,3200,3240,3275,3295,3400,3482.5,3400.5,3450,3400,3385,3395,3395,3350,3500,3500,3395,3425,3482.5,3495,3495,3395,3450,3595,3888,3494.5,3540.5,3425,3410,3445,3385,3397.5,3299,3273.5,3275,3350,3477,3375,3504.5,3370,3414.5,3412,3522,3365,3275,3235,3309,3325,3348,3563,3620,3785,3700,3595
"10018","New York","NY","New York","New York",212,,,,,,,,,,,,,,,,,,3225,3292,3250,3280,3297.5,3295,3369,3350,3392,3320,3250,3290,3300,3330,3320,3390,3350,3380,3399.5,3360,3300,3300,3300,3300,3300,3320,3400,3454,3447.5,3475,3475,3450,3495,3450,3550,3700,3620,3615,3595,3595,3660,3630,3610,3595,3515,3450,3430,3417.5,3475,3415,3595,3425,3450,3478,3475,3445,3500,3581,3477,3470,3490,3400,3390,3361.5,3390,3695,3650
"10280","New York","NY","New York","New York",213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,3401,3285,3490,3415,3075,3195,3197.5,3132.5,3300,3495,3402.5,3500,3550,3400
"02113","Boston","MA","Boston","Suffolk",214,,,,,,,,,,,,,,,,2400,2387.5,2200,2300,2400,2350,2400,2400,2400,2425,2450,2495,2400,2250,2400,2400,2600,2400,2400,2472.5,2600,2500,2500,2400,2400,2350,2400,2400,2400,2400,2400,2500,2400,2400,2400,2490,2500,2500,2550,2500,2525,2550,2500,2500,2400,2300,2300,2400,2400,2400,2500,2500,2500,2550,2500,2425,2600,2437.5,2500,2350,2500,2500,2650,2700,2700,2600,2700,2730,2700
"11109","New York","NY","New York","New York",215,,,,,,,,,,2647.5,2675,2750,2642.5,2720,2675,2625,2730,2650,2687.5,2805,2860,2880,2820,2795,2825,2880,2800,2800,2900,2930,2867.5,2925,2900,2895,2850,2825,2850,2900,2895,2910,2920,2945,2900,2867.5,2825,2845,2892.5,3065,3095,3107.5,3155,3112.5,3300,3192.5,3095,3080,3097.5,3150,3125,3150,3100,3040,3045,3050,3237.5,3200,3195,3130,3300,3105,3197.5,3197.5,3200,2995,3300,3290,3350,3375,3395,3300,3350,3425,3347.5,3337.5
"02111","Boston","MA","Boston","Suffolk",216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875,2875,3300,3300,3300,3020,3174.5,3211.5,3174.5,3100,3150,3048
"60606","Chicago","IL","Chicago","Cook",217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.5,1900.5,1887,1901,1975,1997.5,1901,1945,1990,1955,1999,1958
"10006","New York","NY","New York","New York",218,,,,,,2792.5,2850,2800,2867.5,2785,2750,2792.5,2800,2847.5,2800,2799.5,2880,2900,2925,2900,2975,2995,3042,3095,3000,3062.5,2995,2950,2912.5,2975,2850,2975,2995,2995,2995,3000,3000,2995,3000,3000,3000,3002.5,2995,2950,2950,3200,3197.5,3200,3200,3200,3200,3145,3295,3355,3355,3355,3295,3350,3350,3370,3400,3400,3339,3295,3370,3449,3390,3350,3485,3390,3372.5,3362.5,3412.5,3350,3346,3380,3495,3501.5,3700,3525,3500,3712.5,3850,3772.5
"02109","Boston","MA","Boston","Suffolk",219,,,,,,,,,,,,,,,,,,,,,,,,,,,,2682.5,2695,3165,3095,3250,3275,3295,3272.5,3300,3250,3200,3100,3050,3260,3250,3250,3200,3265,3315,3230,3100,2912.5,2862.5,2850,2832.5,2840,2840,2902.5,2700,2600,2800,2600,2700,2700,2715,2730,2850,2850,2825,2850,2850,3065,2760,2850,2600,2850,2650,2850,2700,2700,2675,2700,2800,2700,2750,2830,2850
