"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,61965,"10986","NY","New York","Rockland","Town of Stony Point",14458,406700,0.0147205588822355,0.0335451080050826,0.163329519450801,0.0207552484590658,-0.0234463077706997,"2007-05","2007-Q2",545100,-0.25389836727206,"2004-02"
2017-09-30,79269,"48607","MI","Saginaw","Saginaw","Saginaw",14459,56500,0.0560747663551402,0.134538152610442,0.30184331797235,0.0581025712363152,0.0223392261842716,"2017-09","2017-Q3",56500,0,"2017-09"
2017-09-30,91222,"76064","TX","Dallas-Fort Worth","Ellis","Maypearl",14460,177400,0.00225988700564972,0.00967558338076266,0.107365792759051,0.0789928403290701,,"2017-09","2017-Q3",177400,0,"2017-09"
2017-09-30,59903,"05459","VT","Burlington","Franklin","Highgate",14461,186500,-0.00639318060735216,-0.020997375328084,-0.0225366876310273,0.00556074414003183,-0.00429362325922311,"2005-06","2005-Q2",236500,-0.211416490486258,"2004-01"
2017-09-30,80764,"51576","IA","Omaha","Pottawattamie","Underwood",14462,203900,0.00641658440276407,0.0139234211834908,-0.0449648711943794,0.0275416742614292,0.0118169306985669,"2016-10","2016-Q4",213800,-0.0463049579045837,"2016-05"
2017-09-30,67510,"23065","VA","Richmond","Goochland","Gumspring",14463,199400,-0.00697211155378486,-0.0118929633300297,0.0288957688338493,0.0384739723864405,-0.00643618492655973,"2008-03","2008-Q1",216800,-0.0802583025830258,"2006-06"
2017-09-30,76332,"42355","KY","Owensboro","Daviess","Maceo",14464,138500,-0.00787965616045845,0.00800582241630277,0.155129274395329,0.0430169911185527,0.0205566877203434,"2017-08","2017-Q3",139600,-0.00787965616045845,"2017-07"
2017-09-30,85193,"61849","IL","Champaign-Urbana","Champaign","Homer",14465,111300,0.00815217391304348,0.0192307692307692,0.05,0.038597102908239,0.00827066046303271,"2017-09","2017-Q3",111300,0,"2017-09"
2017-09-30,79438,"48865","MI","Ionia","Ionia","Orleans",14466,137100,0.0163083765752409,0.0669260700389105,0.188041594454073,0.0975058925588694,0.00839860642051082,"2006-01","2006-Q1",146900,-0.066712049012934,"2004-05"
2017-09-30,74943,"38661","MS","Memphis","Marshall","Red Banks",14467,123900,0.0164068908941756,0.0736568457538995,0.0773913043478261,0.0421306158714021,,"2017-09","2017-Q3",123900,0,"2017-09"
2017-09-30,62746,"12783","NY",,"Sullivan","Bethel",14468,112400,-0.00618921308576481,-0.00177619893428064,-0.0140350877192982,-0.00212165985663548,-0.0508417353197919,"2007-07","2007-Q3",191300,-0.412441191845269,"2002-12"
2017-09-30,84796,"61062","IL","Freeport","Stephenson","Pearl City",14469,117500,0.000851788756388416,-0.0150880134115675,-0.0281224152191894,0.0671513921471105,0.00145843933425205,"2009-01","2009-Q1",133300,-0.118529632408102,"2008-06"
2017-09-30,94156,"83427","ID","Idaho Falls","Bonneville","Idaho Falls",14470,158300,-0.00126182965299685,0.0140935297885971,0.033289817232376,0.0514146921079215,,"2017-08","2017-Q3",158500,-0.00126182965299685,"2017-08"
2017-09-30,77900,"45896","OH","Wapakoneta","Auglaize","Waynesfield",14471,110900,0.000902527075812274,0.000902527075812274,0.0432737535277516,0.0442777324106762,0.0190814268887975,"2017-04","2017-Q2",111500,-0.00538116591928251,"2017-03"
2017-09-30,73939,"36562","AL","Daphne","Baldwin","Perdido",14472,108500,-0.00458715596330275,-0.0145322434150772,0.0102420856610801,0.0456395525912732,-0.0143715742148485,"2007-01","2007-Q1",136700,-0.206291148500366,"2006-01"
2017-09-30,77179,"44443","OH","Youngstown","Mahoning","New Springfield",14473,129200,-0.00691775557263643,-0.00691775557263643,0.0303030303030303,0.0302757312030753,0.00682855531232862,"2017-07","2017-Q3",130300,-0.00844205679201842,"2017-04"
2017-09-30,79525,"49033","MI","Battle Creek","Calhoun","Emmett Township",14474,156500,0.000639386189258312,0.00513808606294155,0.0289283366206443,0.028327010517055,0.00122223370224406,"2005-10","2005-Q4",173700,-0.09902130109384,"2003-12"
2017-09-30,97338,"93562","CA","Riverside","San Bernardino","Trona",14475,83500,0.0411471321695761,0.0858257477243173,0.117804551539491,0.0644592812953475,,"2017-09","2017-Q3",83500,0,"2017-09"
2017-09-30,80743,"51551","IA","Omaha","Mills","Malvern",14476,145600,0.00761245674740484,0.037037037037037,0.111450381679389,0.0265830647309002,,"2017-09","2017-Q3",145600,0,"2017-09"
2017-09-30,66739,"21036","MD","Baltimore","Howard","Dayton",14477,647700,0.00263157894736842,0.0073094867807154,-0.00552740672501152,0.0165038234434549,-0.00855363620353355,"2006-08","2006-Q3",748000,-0.134090909090909,"2005-02"
2017-09-30,82809,"56354","MN","Alexandria","Douglas","Miltona",14478,247300,-0.0123801916932907,-0.0636122680802726,0.021900826446281,0.0287713939603531,0.00422090116145957,"2017-05","2017-Q2",267600,-0.0758594917787743,"2016-12"
2017-09-30,91202,"76035","TX","Dallas-Fort Worth","Parker","Cresson",14479,306000,0.00657894736842105,0.0112359550561798,0.0721793973370708,0.0630495377084677,0.0308145014497672,"2017-09","2017-Q3",306000,0,"2017-09"
2017-09-30,62945,"13083","NY","Syracuse","Oswego","Boylston",14480,104500,0.00191754554170662,0,0.0598377281947262,0.0326312333914862,,"2017-07","2017-Q3",104600,-0.000956022944550669,"2017-06"
2017-09-30,98656,"96140","CA","Sacramento","Placer","Carnelian Bay",14481,621800,0.00112703268394783,0.0165113617786497,0.126653379235369,0.0742174810680052,0.00533157822127062,"2005-12","2005-Q4",647900,-0.040283994443587,"2005-07"
2017-09-30,78016,"46182","IN","Indianapolis","Shelby","Waldron",14482,114000,0.0133333333333333,0.0401459854014599,0.1003861003861,0.0367011507091355,0.00532831763463104,"2005-07","2005-Q3",119900,-0.0492076730608841,"2004-10"
2017-09-30,82099,"55089","MN","Red Wing","Goodhue","Welch",14483,309300,0.00356911096690461,0.00129491744901263,0.0856440856440856,0.0730601726860804,0.0175537615107102,"2017-05","2017-Q2",311200,-0.00610539845758355,"2017-05"
2017-09-30,82071,"55054","MN","Minneapolis-St Paul","Scott","Elko New Market",14484,307600,0.00951755825402035,0.0342972427706792,0.0706578489383919,0.0726686196842701,0.00351296593458716,"2017-09","2017-Q3",307600,0,"2017-09"
2017-09-30,62364,"12059","NY","Albany","Albany","Berne",14485,193200,-0.00719424460431655,-0.017293997965412,0.0540098199672668,0.0183608813392091,0.00682268358188187,"2017-03","2017-Q1",201600,-0.0416666666666667,"2017-01"
2017-09-30,60066,"05871","VT",,"Caledonia","Burke",14486,175300,0.0156431054461182,0.0553883202889825,0.169446297531688,0.0445099001263805,,"2017-09","2017-Q3",175300,0,"2017-09"
2017-09-30,66030,"19706","DE","Philadelphia","New Castle","Delaware City",14487,179100,0.00448681996634885,0.0176136363636364,0.146606914212548,0.0322727104546283,-0.00414725045359943,"2006-07","2006-Q3",189700,-0.0558777016341592,"2006-01"
2017-09-30,90170,"73759","OK",,"Grant","Medford",14488,102500,0.00786627335299902,0.0188866799204771,0.260762607626076,0.0762002865213351,0.0623156605213191,"2017-09","2017-Q3",102500,0,"2017-09"
2017-09-30,74604,"38037","TN",,"Lauderdale","Gates",14489,58800,0.00170357751277683,0.00170357751277683,0.0208333333333333,0.0409897419592387,-0.0039925419876532,"2009-11","2009-Q4",69700,-0.156384505021521,"2009-03"
2017-09-30,74140,"37059","TN",,"Dekalb","Dowelltown",14490,111800,0.00449236298292902,0.0294659300184162,0.207343412526998,0.0972290457915353,0.0293703023269591,"2017-09","2017-Q3",111800,0,"2017-09"
2017-09-30,87188,"66451","KS","Topeka","Osage","Lyndon",14491,83200,-0.0246189917936694,-0.0545454545454545,-0.0816777041942605,,,"2013-06","2013-Q2",94700,-0.121436114044351,
2017-09-30,73933,"36555","AL","Daphne","Baldwin","Foley",14492,205600,0.00341630063445583,-0.00339311682016481,0.0362903225806452,0.0337011321504348,0.00474198784467417,"2005-09","2005-Q3",268000,-0.232835820895522,"2005-01"
2017-09-30,66660,"20842","MD","Washington","Montgomery","Dickerson",14493,374800,0.00482573726541555,0.00509519978546527,0.0140692640692641,0.0215502025597658,-0.0111095287477452,"2006-12","2006-Q4",443700,-0.155285102546766,"2005-05"
2017-09-30,67008,"21737","MD","Baltimore","Howard","Glenelg",14494,837400,-0.00047744091668656,-0.0030952380952381,0.0152764306498545,0.0298428221223233,,"2017-07","2017-Q3",840100,-0.003213903106773,"2017-06"
2017-09-30,64688,"16664","PA",,"Bedford","South Woodbury Township",14495,141000,-0.00704225352112676,-0.0126050420168067,0.0706150341685649,0.0152867185663841,0.0144960136745655,"2017-06","2017-Q2",142800,-0.0126050420168067,"2017-05"
2017-09-30,74844,"38482","TN","Nashville","Maury","Santa Fe",14496,157600,-0.00630517023959647,0.00254452926208651,0.203053435114504,0.0697461647831112,0.0263559244000295,"2017-08","2017-Q3",158600,-0.00630517023959647,"2017-07"
2017-09-30,99730,"98342","WA","Bremerton","Kitsap","Indianola",14497,402800,-0.0100761857950356,-0.0368244858919177,0.0536228093120586,0.075133243280842,0.00664145463416799,"2017-05","2017-Q2",421500,-0.0443653618030842,"2017-01"
2017-09-30,91347,"76271","TX","Sherman","Grayson","Tioga",14498,156800,0.00577293136626042,0.0142302716688228,0.0481283422459893,0.090019769832441,0.0451738918191427,"2017-09","2017-Q3",156800,0,"2017-09"
2017-09-30,74133,"37050","TN",,"Stewart","Cumberland City",14499,84100,-0.00237247924080664,-0.00237247924080664,0.0754475703324808,,,"2016-01","2016-Q1",86500,-0.0277456647398844,"2015-12"
2017-09-30,75494,"40046","KY","Louisville/Jefferson County","Spencer","Mount Eden",14500,167900,-0.00178359096313912,0.0212895377128954,0.277777777777778,0.0666536510369722,,"2017-08","2017-Q3",168200,-0.00178359096313912,"2017-08"
2017-09-30,94191,"83522","ID",,"Idaho","Cottonwood",14501,197800,0.0185375901132853,0.0838356164383562,0.222496909765142,0.050925844128856,0.0109443913661951,"2017-09","2017-Q3",197800,0,"2017-09"
2017-09-30,63330,"13843","NY",,"Chenango","Town of New Berlin",14502,92700,0.0277161862527716,0.032293986636971,0.0816802800466744,0.0265919104849994,0.00906613779888854,"2011-09","2011-Q3",93900,-0.012779552715655,"2011-07"
2017-09-30,67985,"24102","VA","Roanoke","Franklin","Henry",14503,123700,0.0114472608340147,0.0139344262295082,-0.0032232070910556,0.027898394573552,0.00346026374060382,"2008-10","2008-Q4",132300,-0.0650037792894936,"2008-01"
2017-09-30,86362,"64125","MO","Kansas City","Jackson","Kansas City",14504,40400,0.00497512437810945,-0.0170316301703163,0.0889487870619946,0.0350956646610581,,"2009-06","2009-Q2",52100,-0.224568138195777,
2017-09-30,64849,"17017","PA","Sunbury","Northumberland","Lower Mahanoy Township",14505,131300,0.0225856697819315,0.064882400648824,0.113655640373198,0.0604651645595864,0.0170289560587211,"2017-09","2017-Q3",131300,0,"2017-09"
