"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Canterbury","AL","Mobile","Mobile","Mobile",4157,1127,-0.00441696113074205,-0.0114035087719298,-0.00617283950617284,777
2017-09-30,"Nena","CA","Riverside","San Bernardino","San Bernardino",4158,1827,-0.00163934426229508,0.00605726872246696,0.06282722513089,781
2017-09-30,"West Highlands","OK","Tulsa","Tulsa","Tulsa",4159,1141,0.00175592625109745,0.01875,-0.00782608695652174,749
2017-09-30,"Hamilton","IN","Fort Wayne","Allen","Fort Wayne",4160,641,-0.00155763239875389,0.00627943485086342,0.0126382306477093,1063
2017-09-30,"Central City-Liberty Wells","UT","Salt Lake City","Salt Lake","Salt Lake City",4161,1394,0.0014367816091954,0.00287769784172662,0.041075429424944,917
2017-09-30,"Tiger Hole-Secret Woods","FL","Jacksonville","Duval","Jacksonville",4162,1348,-0.00148148148148148,0.00297619047619048,0.00747384155455904,1194
2017-09-30,"Stony Island Park","IL","Chicago","Cook","Chicago",4163,1411,-0.00423429781227946,0.00498575498575499,0.0100214745884037,1054
2017-09-30,"Providence Park","NC","Charlotte","Mecklenburg","Charlotte",4164,2575,-0.00232468035645099,0.00389863547758285,0.0165811290959337,459
2017-09-30,"Encanto","AZ","Phoenix","Maricopa","Mesa",4165,1216,0.00662251655629139,0.0175732217573222,0.037542662116041,1234
2017-09-30,"Greektown","MD","Baltimore","Baltimore City","Baltimore",4166,1329,0.00377643504531722,0.00681818181818182,0.00834597875569044,1560
2017-09-30,"Eastmorland Community","WI","Madison","Dane","Madison",4167,1411,0,0.00713775874375446,0.0482912332838039,1521
2017-09-30,"Bridle Trails","WA","Seattle","King","Kirkland",4168,3140,0.00673292722026291,0.0214703968770332,0.0359617288023755,825
2017-09-30,"S Y Jackson","NM","Albuquerque","Bernalillo","Albuquerque",4169,1295,0.00543478260869565,0.00232198142414861,-0.0196820590461771,1052
2017-09-30,"North Lakeville","MA","Boston","Plymouth","Lakeville",4170,1967,-0.00202942668696093,-0.0199302441454908,0.0139175257731959,926
