"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Northern Liberties","Philadelphia","PA","Philadelphia","Philadelphia",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449450,449900,419000,445000,450000,409900,379450,414838.5,419900,419900,411370,423005,417500,435450
"The Brooks","Bonita Springs","FL","Fort Myers","Lee",345,251950,259900,269000,259000,229000,235000,219900,222500,222500,222500,245000,247450,259000,268900,268000,260500,269950,249900,248000,245000,238500,247000,239900,239500,239000,239000,228800,228800,224900,214900,221500,214900,209500,199900,210000,212000,214900,214900,208000,199900,198500,199900,214950,217499.5,214950,226950,245900,249000,242900,239450,239000,242900,238500,234950,229000,229000,228000,224900,233750,226500,248000,243450,239000,237000,227450,224900,254900,275000,239495,267000,268750,285000,287000,278000,293450,284900,287000,275000,269900,259000,274900,270000,277000,305000,297000,291950,289000,284950,282400,284900,279999,279999,282499.5
"North Ponce de Leon","Coral Gables","FL","Miami-Fort Lauderdale","Miami-Dade",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315900,310000,310000,317450,319000,297500,3e+05,319000,331750,326450,337500,334500,334500,335000,337350,335000,349900,381500,384000,369000,324500,324500,324450,319000,339500,340000,319000,365000,374450,377000,361950,367450,349100,369900,369900,357000,349000,339000,349000,350000,349000,350000,343250,350000,359000,389900,410000,370000,359000,349900,349900,339500
"Greater Alberta","Tuscaloosa","AL","Tuscaloosa","Tuscaloosa",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129804,130852,129900,121900,119450,119900,119900,121900,121900,124700,132800,128250,123400,121900,121900,121900,119750,119900,121900,121900
"Rigden Farm","Fort Collins","CO","Fort Collins","Larimer",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,298650,297450,298700,297450,298871,298871,299900,301450,303914,315134.5,315369,315369,322900,329643,323716,315369,337772,333377
"Lower Deer Valley","Park City","UT","Summit Park","Summit",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224950,1274500,1274500,1225000,1200000,1175000,1250000,1250000,1322500,1350000,1250000,1150000,1200000
"Upper Deer Valley","Park City","UT","Summit Park","Summit",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825000,2900000,2799500,2720000,2720000,2850000,2799500,2795000,2725000,2795000,2825000,2900000,2995000,2897500,2900000
"Amber Creek East","North Miami","FL","Miami-Fort Lauderdale","Miami-Dade",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,126500,120000,128250,125000,129000,129000,125000,129090,132500,133750,149450,149000,154995,140000,140900,145000,151000,149900,150000,159000,160400,155900,149500,155000,164900,169000,157000,169500,171500,175000,170000,179000,169000,171305,168000,172610,173805,175000,172500,172500,175000,175000,175000,169000,170000,169000
"The Island","Venice","FL","North Port-Sarasota-Bradenton","Sarasota",345,324950,325000,329900,329900,314950,310000,299900,297000,299000,284450,260000,269450,249900,259000,275500,227450,222450,213950,246250,239900,259900,233700,209900,219900,215000,204000,201950,201950,213450,229450,224000,249500,265000,289000,299000,272000,269000,245000,234500,220000,229900,239000,229000,239450,239000,234900,230400,249950,245000,249892.5,234900,225000,259900,254900,274950,290000,298800,280000,299250,299500,297500,327000,327250,319000,289950,279900,282000,290500,280950,284900,299000,326000,327000,327400,329900,316950,275000,272500,282450,272000,259900,295000,282450,274950,291950,339900,335000,335000,339000,339900,335000,329950,328700
"Midtown","Ocean City","MD","Salisbury","Worcester",345,379000,359900,345999,327000,337250,349900,349900,339900,339000,337500,328000,319900,310000,320000,309900,305000,315000,310000,304950,299900,299900,299900,299000,289990,289900,289900,289900,299000,299450,299900,294000,288000,279900,279000,274900,269900,269000,269900,269000,269900,269492,269500,275000,269900,279000,271200,259900,260000,259900,269900,269000,259900,271450,269900,269000,259900,262000,268450,267900,269900,269900,275000,275000,269809,269900,269999,264950,270000,265000,259000,249900,263850,249900,259450,258900,267200,278000,278000,277950,275000,270000,274900,278000,282450,285000,299000,293950,289900,296500,294900,295000,309000,290000
"Melody Ranch","Palm Springs","CA","Riverside","Riverside",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,294000,305950,289000,289000,299000,285000,279000,271500,279000,294000,299000,289000,294000,292000,299000,299000,299000,299000,295000,289700,299450,307000,299000,299000,294450,289000,287450,295000,295000,295000,297000,299000
"Midtown","Palm Springs","CA","Riverside","Riverside",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304475,299950,315000,299925,293900,286950,281500,259000,249000,209900,209900,244000,244000,245000,280000,277500,269500,284950,264000,259000,259000,237000,249000
"Baristo","Palm Springs","CA","Riverside","Riverside",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279500,249000,284900,278700,233300,249900,284900,284900,269450,274450,274450,264000,256950,259500,277000,277000,279900,279900,279450,249450,229000,230875,249450,249900,249900
"Coronado Beach","New Smyrna Beach","FL","Daytona Beach","Volusia",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273000,265450,287000,315750,299450,284950,284950,287450,279500,290000,295000,294000,290950
"Wilshire-Montana","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099000,1120000,1049000,1049000,1089500,1195000,1277000,1325000,1275000,1117000,1099000,1189000,1143500,1099000,1047000,1099000,1200000
"Marina Bay","Richmond","CA","San Francisco","Contra Costa",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360000,365000,365000,360000,360000,367000,390000,430000,388000,388000,388000,388000,379000,383500,399000,420000,449000,450000,457500,454750,463000
"Rancho La Costa","Carlsbad","CA","San Diego","San Diego",345,349450,349500,349900,349900,337000,339000,330000,339000,325000,329900,319950,315450,299900,299000,299900,297000,299000,3e+05,295500,295000,290000,289000,295000,288900,279950,290000,279500,285750,299925,288944,309900,325000,340000,339000,357250,365000,375000,365000,387000,395000,378000,378000,375000,392000,389000,405000,399000,412000,415900,398000,399000,399000,419000,441750,419000,409000,398000,402450,405000,399000,424450,425000,459000,459700,457500,439700,449800,449000,455000,462500,449000,463900,447000,447000,459000,453500,459000,469000,479250,488950,479000,499000,499000,469950,489000,489900,487450,475000,479000,5e+05,489000,479900,480000
