"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Wynwood - Edgewater","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439500,446950,449595,450000,465000,462450,469000,449900,439995,450000,480000,489000,475450,477950,489000,490000,499000,499000,505000,499000,499999,499900,499000,495750,495000,484000,480000,485500,515000,525000,539000,553394,565900,569000,580500,589000,563950,549000,540000,535000,535000,530000,520000,518000,510000,515000,5e+05,499900,510000,499000,499000,499000,499000,499000,499000
"Villages of Palm Beach Lakes","West Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115500,109450,105000,104900,110000,119900,119500,112700,117450,118450,120600,119900,119900,119900,119900,119900,119900,120000,123900,119900,119900,119900,124900,125000,126500,126500,124700,124900,124700,120777,125000,124000,124500,125000,128750,129900,135000,136900,138450,139450,139000,141200,145000,145000
"Pioneer Park","Las Vegas","NV","Las Vegas","Clark",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79999,79000,78999.5,79000,79900,79000,79999.5,80950,81900,85000,85000,84500,84900,89900,89900,84900,83700,84900,82000,82500,80000,79900,79900,80950,85000,85000,87450,94950,96450,99000,99500,108713.5,108777,106700,107900,103500,109250,109694,109444,112900,119500,123250,124950,126900,129900,129999
"Gandy-Sun Bay South","Tampa","FL","Tampa","Hillsborough",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138450,136590,134700,144000,164850,169945,153950,149900,171945,167900,144900,146500,165000,159900,164450,165000,160000,180900,183450,179000,159900,145000,169900,190000,190000,179500,180000,189000,189450,184900,184900,187900,187900,185000,189900,187400,189900,198000,199900,219900,209700,225000,237950,226400,223900,212450,204900
"North Shore","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719500,680000,662500,685000,647000,649999,679400,685900,670000,675000,685000,692475,7e+05,702500,699000,699000,685450
"Corona del Mar","Newport Beach","CA","Los Angeles-Long Beach-Anaheim","Orange",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285000,1299000,1299000,1244500,1282500,1285000,1349000,1325000,1300000,1325000,1395000,1300000,1399000,1399000,1410000,1449500,1410000,1450000,1450000,1400000,1495000,1575000,1512450,1512250,1529500,1495000,1495000,1575000,1495000,1409000,1499000,1319000,1437000,1450000,1512500,1632000,1575000,1575000,1632500,1499995,1495000,1575000,1587500,1650000
"MacDonald Ranch","Henderson","NV","Las Vegas","Clark",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212000,210000,220000,210000,209990,209900,207900,209900,215000,210000,210000,216100,219950,220000,220000,225000,219749.5,221249.5,217450,226752.5,232250,229500,229500,259250,234900,249500,259900,253015.5,254500
"Glen Oaks","New York","NY","New York","Queens",147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314900,319900,319900,319900,309900,289900,289900,279900,289900,285950,279450,281400,289900,294450,309450,307400,294900
"Riverdale","New York","NY","New York","Bronx",148,,,339000,335000,329500,329500,322500,315000,312500,315000,312500,318000,319000,309000,309000,304500,299999.5,299450,299000,299000,297000,295000,295000,297000,295000,295000,295000,295000,295000,298500,298500,298500,298750,300950,302000,299900,299500,292500,292000,289500,279450,279000,279900,288500,311200,315000,299900,299900,295500,299900,289000,310000,299500,299900,299000,305000,305000,315000,312500,299000,289500,315000,325000,312500,315000,319500,325000,325000,325000,325000,320000,334450,322500,325000,319749.5,325000,336950,349000,339500,336950,342500,334450,329450,329450,339500,334000,339500,349000,349000,349000,342000,349500,329500
"Windsor","Denver","CO","Denver","Denver",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134950,137400,154500,169000,162000,154500,149900,164900,174900,186000,199900,199000,194900,189900,182500,189900,184900,193000,204900,191500,199900,204950,204950,2e+05,204900,203950,2e+05,203950,203900,199999,201450,219900,232000
"Five Points","Denver","CO","Denver","Denver",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e+05,549900,525000,522500,530000,515000,522500,499500,499000,499000,502500,519950,527000,532500,542500,549500,550000,550000,599000,599250,575000,575000,565000,565000,586903,583401.5,567865.5,562141.5,570731,587000
"Angel Park Lindell","Las Vegas","NV","Las Vegas","Clark",151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138000,138000,127450,118650,114949.5,114999.5,118500,119400,119900,120000,122500,129567,130000,121500,127000,130750,129000,141000,146250,151950
"Downtown","Atlanta","GA","Atlanta","Fulton",152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349000,294905.5,299900,299911,293200,299955.5,280000,319000,319000,324950,324000,324900,299900,299900,304950,310000,315000,312000,312000,325000,324900,329000,328950,344450,372000,349900,349900,369900,375500,368450,359900,339195,355857
"Downtown","Honolulu","HI","Urban Honolulu","Honolulu",153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698500,680000,674500,635000,622497.5,629500,632500,629500,645000,698000,663000,638000
"North Riverdale","New York","NY","New York","Bronx",154,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,245000,266500,252000,245000,247500,259000,251000,247500,250000,252000,250000,250000,247450,235000,237500,235000,239000,239000,236000,237250,235000,250000,254500,279000,268000,267500,268000,249700,249700,232499.5,229000,235000,239900,239900,247000,245000,245000,247000,245000,250000,250000,250000,249500,250000,250000,250000,250000,249000,281999.5,294999,262000,257000,259000,285000,285000,265000,259000,240000,240000,240000,252250,265000,304500,325000,310000
