"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Westside Connection","Grand Rapids","MI","Grand Rapids","Kent",652,117950,121900,121900,121950,119900,119900,112500,115000,119900,114450,105000,109900,101665,109900,109900,111107.5,114800,114900,109900,109900,99900,99900,99900,92000,89450,99850,99900,99900,99900,97450,1e+05,104900,107450,1e+05,104900,109900,110000,112000,119900,117200,119900,124900,124900,121000,119900,124400,125250,121450,120000,119900,119900,123900,127900,124900,124900,124900,124900,124900,119900,118825,119900,121900,134900,129900,129500,133950,135000,139900,138700,137500,144950,144750,144600,134200,139499,148400,150000,154900,159900,149900,159900,159950,159900,152000,157450,159900,154900,166254,175000,189900,174900,170000,174900
"Harvey Park","Denver","CO","Denver","Denver",653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,289700,282250,325000,3e+05,3e+05,275000,269500,308000,312500,339750,335000,325000,325000,306250,322000,341000
"Mandarin Station - Losco","Jacksonville","FL","Jacksonville","Duval",654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229900,229950,230000,239000,219900,212450,205000,204900,208945,215000,210000,199950,199900,205950,216424.5,221200,223500,219900,220000
"Northwest Akron","Akron","OH","Akron","Summit",655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,129999,136450,135000,129900,125000,129900,129900,129900,134950,129900,134900,134950,129900,139900,144900,139900,134000,137400,129900,129900,129900,128500,124000,118900,119000,129900,134950,135000,136000,134900,134900,139900,144500,141900,134950,129900,129950,130950,134900,144900,139900,139900,144950,144750,144450,149900,149950,150000,150000,142400,147500,154950,151250,159950,159450,158950,155000
"Seven Oaks","Columbia","SC","Columbia","Richland",656,150000,156200,151175,150000,149700,146250,144900,144900,141900,139450,139500,139999,134616.5,125500,134200,135000,135000,138250,136500,133500,130000,134900,136200,119999,124950,125000,123000,129250,129900,126250,129900,129950,129900,125000,131500,132450,129950,124900,129900,129450,129900,135000,129990,130000,132450,130000,130000,135000,135000,135450,139000,137000,135450,136500,138000,135000,138900,140050,138900,135100,134950,134900,129500,134850,134850,134700,139000,135400,133250,134900,132500,134900,134900,134900,130000,131000,131900,134999,135000,136200,137700,138700,131000,130000,136900,135500,136900,139000,144900,139900,138566,146500,141750
"Greater Eastwood","Houston","TX","Houston","Harris",657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294950,299000,287500,260000,279450,250000,278900,279900,299950,302500,294000,276500,279000,279000,269500,272000,3e+05,320000,315000,314750,298699.5,295000,298500,309900,312500,307350,307000
"Pine Point","Springfield","MA","Springfield","Hampden",658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110950,106900,115000,110000,109000,109000,109500,109000,107000,110400,119900,118900,119825,119375,114900,114950,114900,114900,114400,114900,111250,110000,109900,107000,105900,108000,105000,107400,99900,99900,102400,102400,99900,102450,109900,114900,124900,114900,109900,119900,124900,119900,124900,124900,124900,124900,122000,119900,119100,124900,127400
"Hegewisch","Chicago","IL","Chicago","Cook",659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72900,69900,79950,86727.5,79900,88050,97500,84900,93450,99900,97500,102400,99900
"Drake","Des Moines","IA","Des Moines","Polk",660,,,,,,,,,,,,,,,,,,,,,,,,,,,,85500,85000,89950,102000,91750,89000,89900,99000,104500,106000,107500,107500,105000,107500,107000,107450,102250,108900,108900,109700,102750,113900,109900,109900,109900,115000,115000,114999.5,109500,99700,106000,99900,106000,103450,99900,104900,103900,104900,114450,113900,113900,115000,115000,115000,117450,119950,117500,107500,106000,105000,117500,120000,116450,124900,123450,123250,119900,115000,120000,125000,122450,119900,121250,119950,119950,125000
"Five Points","El Paso","TX","El Paso","El Paso",661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,89700,92000,95250,89900,94250,109500,119000,116500,120000,120000,115000,113450
