"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Silver Lake","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275000,1249000,1249000,1092500,1195000,1195000,1195000,1195000,1195000,1125000,1087500,1100000,1250000,1259000,1260500
"St. Albans","New York","NY","New York","Queens",53,439500,420000,439000,410000,410000,410000,409000,410000,410000,399000,399000,399000,399000,399000,394950,394950,389000,399000,384000,384000,389000,389000,397450,399000,399000,392500,395900,399500,4e+05,399000,399500,429000,414500,396000,427000,449000,465000,469000,469000,467000,469500,479999,499000,479000,494000,499999,479000,474500,469900,469000,479000,479000,469000,474000,469000,476000,477000,499000,499000,499000,499000,499000,499000,499000,549499.5,549499.5,539000,539000,549000,559000,549999.5,515500,562500,569500,567000,567000,534000,549000,574000,585000,649000,657000,649000,659000,659000,659000,650000,585000,534500,552500,492250,549000,587500
"Throggs Neck","New York","NY","New York","Bronx",54,482000,499000,522000,527000,499900,479450,495000,499000,525000,522350,499000,499000,499000,472000,475000,469000,469000,499000,499000,499000,499000,495000,499000,479000,465000,462000,464000,459000,494000,477000,465000,479500,475000,469000,469000,484000,499000,499000,499000,499900,549000,559000,554000,559000,562000,577000,569000,529000,525000,539000,549000,539000,559450,629000,579000,572000,577000,559000,577000,579000,579000,579000,579000,577000,579000,599000,639500,630000,599000,630000,599000,629000,585000,549000,549000,549000,579000,579000,599000,579000,599000,599000,625000,649000,649000,649000,646999.5,649000,649000,659000,659000,659000,649500
"Hollis","New York","NY","New York","Queens",55,409000,425000,429000,419999,449000,459000,439000,459000,408000,419000,414000,425000,429000,419500,399999,420000,420000,420000,399000,399000,397000,399950,4e+05,399000,399000,399900,395000,404000,434450,469000,469000,469000,459000,446250,449000,440000,444000,469000,469500,472000,459000,449000,449000,464000,504000,493450,509000,488000,479000,449000,469000,476750,479000,479000,519000,499000,525000,514000,520000,520000,520000,525000,527000,520000,515000,529000,539000,524500,539000,549000,549499.5,504399.5,549499.5,550000,549500,550000,550000,550000,522000,550000,585000,595000,620000,634500,617999.5,590000,590000,597000,599000,597000,599000,649499.5,695000
"Whitestone","New York","NY","New York","Queens",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189000,1200000,1188000,1050000,1180000,1100000,1169000,1128888,1128888,1211944,1225000,1211944,1250000,1250000,1149000,1200000,1200000,1180000,1289500,1299000,1300000,1299000,1299000,1353444,1304000,1285000,1285000,1287500,1288000,1288000,1290000,1328000,1348000,1391500
"Venice","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775000,1737000,1697000,1872500,1772500,1674500,1699500,1862000,1862000,1650000,1795000,1800000,1925000,1800000,1799500,1800000,1800000,1800000,1800000,1813000,1838000,1999000,1989500,1999000,1989500,2290000,2290000,2150000,2200000,2295000,2400000,2375000,2400000,2297500,2325000,2295000,2300000,2262500,2122500,2247500,2324500,2650000,2629000,2589500,2600000,2374999.5,2479000
"Greenpoint","New York","NY","New York","Kings",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864500,1850000,1850000,1850000,1670000,1649000,1925000,1987000,2200000,2225000,2325000,2350000,2391944,2272500,2300000,2150000,2100000,2100000,2200000,2322500,1999500,2150000,2275000,2237500,2197500,2200000,2350000,2325000,2300000,2150000,2100000,2049500,2100000,2200000,2350000,2395000,2395000,2280000
"Rochdale","New York","NY","New York","Queens",59,450000,439000,429999,429000,429000,439990,429000,449000,465000,469000,469000,449000,449950,450000,459000,450000,450000,459000,449000,449000,445000,449500,439500,449000,459000,449000,449700,449000,429900,432950,429450,429000,409000,425000,449450,459000,459000,449000,439000,447700,489000,479000,474500,499000,479000,498500,489000,5e+05,507500,525000,525000,549000,579000,549000,549000,529000,542000,569000,569000,539000,515555,515555,515555,529000,559000,599000,575000,577777,578388.5,578388.5,578388.5,585000,599000,599000,599000,599000,599000,627500,634000,649000,649000,679000,698999.5,699000,699000,699000,699000,649999,649000,639000,639000,639000,649000
"Glendale","New York","NY","New York","Queens",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649000,675000,649000,668000,674000,669000,666500,673500,699000,699000,709000,719000,759499.5,749000,779000,764000,729000,753500,733500,717000,717000,717000,738000,784000,779000,784000,799000,8e+05,839000,854000,859000,850000,849000,849000,848000,848500,919900,880499.5,899000,898000,899999,903500,897000,872000
"Little Haiti","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000,299000,299500,327500,299000,317500,320000,322499.5,323999.5,330000,349500,330000,305000,3e+05,299900,337449.5
