"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Great Bridge","Chesapeake","VA","Virginia Beach","Chesapeake City",59,464900,467950,466000,459900,455000,458400,477777,476388.5,480900,478838.5,476388.5,476388.5,469900,469900,457400,449450,439900,419500,419500,420950,419000,419950,399500,405900,411900,414900,403900,404650,404150,418900,428575,418900,402312.5,409900,405450,399900,404900,428700,420000,429900,439000,439900,434950,429900,425000,417950,412745,408150,404400,412322.5,399900,391900,397900,403900,395000,409250,402900,436000,439900,449900,449900,439950,439894,450662,453330,453330,456615,449000,468500,456991,465000,454900,449120,434900,439900,439400,450000,439650,439900,439600,431950,439850,441445,455613.5,455900,446864,445369,439900,439800,449900,449000,448500,445058
"Greenbrier East","Chesapeake","VA","Virginia Beach","Chesapeake City",60,498500,499000,489500,489000,479950,479950,495000,491875,529000,483900,483900,492500,491750,476950,469000,449950,468450,459900,455140,449945,449990,439900,389900,388900,389900,390950,381900,391900,416985,426900,433912.5,438900,416985,406000,438900,469000,459990,440870,448200,416900,454995,437427.5,430832.5,439900,428000,435725,428950,449500,448812.5,444740,412900,412900,412900,423990,412900,412900,406900,403900,409900,403900,399900,401233,404400,408150,410288,415795,409844,408150,408150,409400,419400,419945,417325,420900,417900,419062.5,415600,419400,418725,418725,429900,428580,428580,428780,434900,431088,424900,427900,430494,440000,440887.5,438700,435702.5
"Pacific Palisades","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6642000,6100000,6247500,6347000,6150000,6200000,6397000,6449000,6244500,5999000,6447500,6100000,6500000,5695000,5300000,4999999,4995000,4997499.5,4995000,5250000
"Anthem","Henderson","NV","Las Vegas","Clark",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749888,729894,764900,710000,695000,722449.5,695000,704900,698500,733500,775000,797000,797000,764000,750000,750000,750000,812500,794000,781450,781450,791500,795000,750000,729900,675000,699944,7e+05,725000,749000,694894,739995,755000,681850
"Meadow Woods","Orlando","FL","Orlando","Orange",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264950,293490,280495,278995,298990,301990,302745,295990,301990,289990,303445,292990,304990,307990,300495,339990,331130,329490,329995,325990,330040,333515,338990,346990,346715,349500,339495,341990,351990,361495,345910,347490,346580,350067.5,364870,361920,360000,365257.5,381155,368462.5,372197,367095,366830,358415,356030,358967,350000,351990,355000
"Westgate","Henderson","NV","Las Vegas","Clark",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444950,422000,439900,454990,499900,528950,472113,478556.5,451838,512499.5,499999,485000,485000,490000,495000,489000,492400,499950,535000,535000,564000,514500,520000,517900,508950,549000,525000,520000,527475,550000,542450,547000,549000,536500,559000,549500,525000,519500,532450,530000,529945,575000,646445
"Elkhorn","Omaha","NE","Omaha","Douglas",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507310,5e+05,479900,450000,424900,424900,421750,425000,425750,433950,450000,463000,469000,466000,468256,464756,462000,467512,473845,477945,477945,473475,462600,468975,475252,476437,468262,469950,478521.5,472750,472000
"North Stamford","Stamford","CT","Stamford","Fairfield",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,1112500,999000,999000,999000,999000,1125000,1100000,999000,982500,1095000,1080000,999000,995000,995000,1069500,1122000,1095000,1175000
"Beverly Glen","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6841750,6495000,5995000,5995000,5995000,5995000,5995000,6250000,5790000,5790000,6345000,6495000,6750000,6250000,6095000,5485000,5025000,5325000,5074999.5,5495000,5490000
"Lake Houston","Houston","TX","Houston","Harris",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415950,419900,395000,415744,413950,399900,413950,416475,416475,423701,405116,405116,402058,405415,427540,427540,401763,429583.5,411500.5,428353.5,409725,424900,439990,429167,426270,427540,425000,428270,419900,420490,420490
"New Tampa","Tampa","FL","Tampa","Hillsborough",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325495,317500,309945,304900,312490,323990,317190,325900,329895,328990,325900,329990,343795,325900,331290,349600,339945,329950,327990,325000,329000,349900,350450,349900,360495,349900,349950,345950,347360,350500,350000,368000,385440
"Osterville","Barnstable","MA","Cape Cod","Barnstable",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950000,2750000,2850000,2749500,2772000,2722000,2745000,2795000,2595000,2672500,2750000,2595000,2250000,2250000,2359500,2495000,2495000,2495000,2622500,2595000,2650000,2475000,2475000,2595000,2545000,2475000,2495000,2475000,2435000,2485000,2495000,2495000,2495000,2395000,2495000,2395000,2393000,2295000,2295000
"Mt. Paran - Northside","Atlanta","GA","Atlanta","Fulton",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297000,2390000,2737000,2699000,2697000,2597500,2924500,2685000,2950000,2899000,2950000,2995000
"Alafaya","Orlando","FL","Orlando","Orange",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327551,327551,318950,320000,322450,320000,315000,310995,310990,304990,313445,319990,299449.5,309000,299999,318215,309950,309900,312950,327990,325000,334900,334000,331000,337900,328450,320000,336400,345000,349000,338900,334400,330000,337900,347900,347900,335000,335900,335900,329500,349000,347999,350000,350000,347500,350000,350000
"Woodlawn","Pawtucket","RI","Providence","Providence",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205000,179000,199000,194900,192400,202000,217000,199500,199000,199900,214900,215000,214900,215000,209000
"Creekside Park","The Woodlands","TX","Houston","Montgomery",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996350,889000,889000,889000,833152,827304,850000,950000,950000,950000,1050000,925000,875000,869900,825000,820000,840000,8e+05,816269
