"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Kenmore","Boston","MA","Boston","Suffolk",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795,2520,2520,2372.5,2600,2500,2510,2400,2475,2425,2800,2695,2900,2781,2700,2600,2520,2800,2781,2600,2600,2600,2700,3100,3100,2800,2722.5,2795,2788,2500,2500,2600,2697.5,2800,2850,2995,3032.5,3000,3000,2800,2800,3100,2795,3000,2778,3000,3216,3200,3042,3163,3100,3000,3000,2625,2575,2600,2700,2900
"Ala Moana-Kakaako","Honolulu","HI","Urban Honolulu","Honolulu",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2775,2900,2895,2725,2900,3000,3100,3200,3200,3000,3000,2900
"Wynwood - Edgewater","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",110,,,,,,,,,1750,1800,1800,1620,1600,1600,1600,1600,1600,1650,1650,1650,1792.5,1800,1800,1815,1912.5,1912.5,1900,1975,2099.5,2100,2050,2000,2000,2000,2100,2195,2200,2200,2125,2100,2100,2100,2175,2200,2150,2100,2100,2000,2000,2000,2000,2100,2190,2187.5,2175,2100,2200,2199.5,2100,2100,2100,2200,2300,2300,2400,2400,2400,2400,2400,2500,2500,2500,2500,2550,2500,2450,2350,2300,2400,2300,2400,2300,2250,2300,2300,2375,2400,2350,2400,2350,2400,2400
"University Village - Little Italy","Chicago","IL","Chicago","Cook",111,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1795,1797.5,1762.5,1850,1850,1825,1900,1850,1800,1800,1575,1550,1533.5,1700,1650,1509.5,1533,1522,1499.5,1499,1725,1800,1800,1750,1750,1750,1800,1950,1887.5,1800,1850,1900,1900,1850,1800,1800,1800,1800,1800,1875,1995,1975,2075,1900,1900,1900,1900,1975,1975,1950,1975,1947.5,2000,2000,2000,1900,1862.5,1625,1800,1900,2000,2000,1900,2000,2000,2100,2100,2072.5
"Gold Coast","Chicago","IL","Chicago","Cook",112,,,,,,,,,,,,,,,,,,,1800,1849,1650,1550,1542.5,1575,1650,1599,1679.5,1675,1750,1691.5,1850,1800,1802,1800,1700,1755,1755,1699,1700,1700,1650,1650,1645,1640.5,1695,1600,1684.5,1662,1674,1700,1800,1800,1725,1750,1775,2000,2000,1925,1850,1850,1825,1800,1800,1800,1850,1800,1795,1750,1790,1825,1825,1750,1750,1700,1850,1775,1800,1800,1850,1712.5,1762.5,1850,1750,1800,1825,1850,1800,1800,1800,1900,1780,1700
"Villages of Palm Beach Lakes","West Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1150,1200,1200,1200,1200,1250,1225,1275,1200,1250,1250
"Tudor City","New York","NY","New York","New York",114,,,,,,,,,,,,,,,,,,,,,,,,,,2997.5,3000,3000,3095,3000,3000,3000,3095,3000,2995,2900,2895,2995,2999,2999,3000,3000,3000,3080,3400,3400,3300,3400,3400,3297.5,3275,3300,3300,3300,3397.5,3500,3440,3400,3300,3295,3210,3225.5,3262.5,3400,3400,3450,3450,3400,3400,3490,3437.5,3400,3400,3300,3295,3300,3350,3245.5,3300,3190.5,3200,3297.5,3205,3400,3300,3400,3400,3400,3500,3480,3300,3399
"Capitol Hill","Denver","CO","Denver","Denver",115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.5,1595,1550,1395,1500,1425,1400,1600,1597.5,1497.5,1595,1595
"Battery Park","New York","NY","New York","New York",116,,,,,,,,,,,,,3150,3320,3422.5,3147.5,3200,3700,3790,3625,3435,3400,3450,3592.5,3772.5,3750,3732.5,3800,3995,4000,3800,3895,3847.5,3950,3650,3577.5,3537.5,3500,3550,3750,3700,3655,3795,3997.5,3750,3500,3485,3495,3495,3485,3495,3700,3947.5,3897.5,3895,3997.5,3825,3995,3872.5,3895,3725,3695,3712.5,3712.5,3797.5,3800,3895,4000,3995,4225,4145,3997.5,3997.5,3900,4000,4000,4100,3897.5,4000,4197.5,4150,3947.5,3995,3700,3650,3575,3600,3700,3950,3950,3995,4095
"Dupont Circle","Washington","DC","Washington","District of Columbia",117,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2195,2450,2500,2250,2200,2350,2297.5,2300,2350,2400,2300,2495,2500,2437.5,2400,2495,2400,2295,2300,2500,2400,2400,2410,2405,2410,2350,2300,2400,2495,2500,2375,2325,2200,2100,2347.5,2400,2400,2300,2300,2300,2300,2425,2397.5,2522.5,2500,2487.5,2347.5,2380,2399.5,2500,2400,2580,2495,2495,2275,2400,2600,2300,2300,2300,2500,2580,2500,2500,2422.5,2397.5
