"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Northwest","El Paso","TX","El Paso","El Paso",11,,,,,,,,,,,,,1787.5,1700,1800,1800,1595,1500,1650,1850,1850,1825,1790,1775,1762.5,1700,1595,1745,1750,1700,1550,1650,1650,1662.5,1650,1650,1625,1600,1600,1600,1800,1800,1800,1685,1600,1600,1600,1695,1700,1750,1737.5,1775,1650,1672.5,1600,1772.5,1600,1695,1695,1662.5,1600,1597.5,1600,1600,1750,1700,1700,1700,1600,1600,1562.5,1600,1595,1650,1600,1600,1650,1747.5,1750,1697.5,1737.5
"East Village","New York","NY","New York","New York",12,,,,,,4600,4887.5,4995,4800,4797.5,4800,4797.5,5000,5200,5000,4847.5,5000,5150,5200,5400,5395,5250,5225,5100,5195,5195,5100,5197.5,5200,5100,5250,5250,5200,5100,5195,5100,5200,5240,5300,5395,5500,5600,5900,5739,5739,5739,5719.5,5739,5700,5600,5600,5800,5600,5600,5755,6000,6000,6000,5680,5450,5500,5495,5497.5,5625,5800,5795,5800,5995,5649,5550,5297.5,5500,5812.5,5914.5,5995,6000,6197.5,6200,6195,6195,6000
"Ridgewood","New York","NY","New York","Queens",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3149.5,3100,3200,3200,3300,3375,3400,3395,3385,3385,3499,3399.5,3499,3399.5,3500,3560,3525,3550,3595,3499,3400,3400,3500,3600,3500,3597.5,3200,3387,3350,3349,3400,3400,3500,3595,3500
"Summerlin North","Las Vegas","NV","Las Vegas","Clark",14,,,,,1672.5,1850,1900,1850,1700,1850,1700,1900,1750,1672.5,1750,1662.5,1662.5,1700,1695,1775,1650,1600,1695,1600,1600,1600,1700,1737.5,1795,1800,1795,1795,1700,1750,1753,1700,1750,1650,1695,1699,1800,1775,1775,1775,1785,1795,1795,1850,1850,1800,1800,1800,1795,1800,1850,1795,1795,1785,1750,1795,1795,1795,1800,1825,1892.5,1972.5,1895,1900,1897,1850,1795,1772.5,1772.5,1850,1900,1995,1955,1995,1995,1900,1950
"Jamaica Plain","Boston","MA","Boston","Suffolk",15,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3050,3100,3100,3200,3200,3000,3000,3200,3200,3100,3095,3100,3100,3200,3100,3000,2950,3000,3000,3200,3300,3300,3300,3300,3362.5,3200,3200,3200,3000,3000,3000,3300,3500,3497.5,3400,3400,3400,3400,3400,3400,3300,3000,3200,3300,3500,3500,3500,3600,3600,3600,3550,3400,3400
"Brighton","Boston","MA","Boston","Suffolk",16,2600,2600,2600,2600,2550,2500,2500,2500,2600,2600,2700,2700,2700,2650,2650,2700,2800,2750,2750,2690,2800,2800,2800,2800,2800,2900,2900,2900,3000,3100,3000,3000,3000,2999,2950,2950,3000,3000,3000,3150,3199,3100,3100,3195,3200,3199,3200,3200,3200,3100,3195,3200,3200,3100,3150,3112.5,3100,3050,3100,3200,3200,3200,3200,3300,3300,3300,3300,3200,3240,3200,3200,3200,3400,3400,3400,3400,3400,3400,3400,3400,3400
"Allston","Boston","MA","Boston","Suffolk",17,,,2850,2800,2800,2750,2700,2650,2775,2600,2650,2900,3000,3000,3000,2950,2950,2800,2800,2800,2800,2800,2800,3000,3000,3100,3100,3050,3050,3050,3000,3000,3000,2995,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3100,3200,3300,3400,3300,3300,3200,3200,3200,3200,3100,3100,3200,3400,3500,3500,3500,3500,3500,3400,3400,3200,3200,3200,3100,3550,3600,3600,3600,3600,3600,3500,3500,3580,3500
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2150,2200,2200,2200,2200,2000,2000,2000,2000,1900,2000,2200,2200,2200,2260,2200,2200,2200,2175,2000,2100,2200,2250,2300,2200,2200,2200,2200,2200,2200,2200,2100,2000,2100,2200,2400,2400,2200,2300,2200,2300,2200,2200,2200,2200,2300
"Mission Hill","Boston","MA","Boston","Suffolk",19,,,,,,,,,,,,3550,3400,3400,3300,3250,3262.5,3400,3350,3400,3350,3400,3400,3462.5,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3700,3800,3800,3800,3800,3800,3800,3800,3800,3700,3662.5,3750,3800,4000,4000,4000,3900,3900,3900,3850,3800,3675,3600,3600,3800,4000,4100,4100,4000,4000,3999,3900,3800,3775,3625,3500,3750,4000,4200,4200,4200,4000,4000,4000,3900,3800,3800
"Alafaya","Orlando","FL","Orlando","Orange",20,,,,,1595,1566,1595,1578,1495,1400,1425,1495,1500,1500,1500,1550,1512.5,1500,1500,1500,1500,1550,1525,1500,1512.5,1550,1572.5,1575,1595,1562.5,1595,1625,1595,1595,1595,1595,1595,1595,1595,1595,1600,1650,1595,1600,1600,1600,1585,1585,1595,1600,1600,1650,1700,1650,1700,1697.5,1625,1600,1625,1696.5,1680,1675,1650,1650,1650,1675,1712.5,1725,1675,1600,1700,1675,1764.5,1800,1750,1839,1839,1800,1895,1837,1800
"Union Square","Somerville","MA","Boston","Middlesex",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3350,3500,3500,3500,3500,3300,3300,3000,3000,3000,3050,3400,3200,3362.5,3800,3500,4000,3600,3200,2800,2800,2800,3200,3600,3700,3750,4000,3800,3500,3200
