"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Skippack Township","PA","Philadelphia","Montgomery",3356,2305,0.00435729847494553,0.0127416520210896,0.0467756584922797,3524
2017-09-30,"Independence","KS","Coffeyville","Montgomery",3357,705,0.0129310344827586,0.0114777618364419,-0.0275862068965517,4855
2017-09-30,"Andover","KS","Wichita","Butler",3358,1485,0.00405679513184584,0.0115803814713896,0.051699716713881,3738
2017-09-30,"Hanahan","SC","Charleston","Berkeley",3359,1519,-0.00131492439184747,-0.000657894736842105,0.00662690523525513,5597
2017-09-30,"Live Oak","TX","San Antonio","Bexar",3360,1282,0.00312989045383412,0.0134387351778656,0.0215139442231076,4580
2017-09-30,"Hyde Park","NY","New York","Dutchess",3361,1772,0.000564652738565782,0.00339750849377123,0.028438769587928,4346
2017-09-30,"Bay Minette","AL","Daphne","Baldwin",3362,1125,0.000889679715302491,0.016260162601626,0.00178094390026714,6257
2017-09-30,"Harper Woods","MI","Detroit","Wayne",3363,939,0.0151351351351351,0.0479910714285714,0.0646258503401361,5888
2017-09-30,"Hopewell Township","PA","Pittsburgh","Beaver",3364,1104,-0.00986547085201794,-0.0036101083032491,0.0584851390220518,5154
2017-09-30,"Canby","OR","Portland","Clackamas",3365,1900,0.00902814657461498,0.0231556273559505,0.0813887307911212,4266
2017-09-30,"Middlesex","NJ","New York","Middlesex",3366,2047,-0.00582807187955318,-0.0111111111111111,0.00343137254901961,4212
2017-09-30,"Hartwell","GA",,"Hart",3367,1122,0.00808625336927224,0.016304347826087,0.0293577981651376,5030
2017-09-30,"Lake City","SC","Florence","Florence",3368,924,0.00983606557377049,0.0232558139534884,0.088339222614841,3450
2017-09-30,"Glendale","WI","Milwaukee","Milwaukee",3369,891,-0.00668896321070234,-0.0490928495197439,-0.123893805309735,256
2017-09-30,"Prospect","KY","Louisville/Jefferson County","Jefferson",3370,2750,-0.00181488203266788,0.00109210047324354,0.0265024262784621,6252
