"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Secaucus","NJ","New York","Hudson",571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,422910,399900,399900,389000,399999,399999,399503,399000,399450,399000,399000,389211,388944,389000,397500,399910,409701.5,397215.5,419900,427500,429000,439000,440000,409225,399000,385000,389610,399000,414900,399901,399000,4e+05,399900
"Murrells Inlet","SC","Myrtle Beach","Horry",572,146500,145700,139900,135450,139900,138900,135000,129900,139900,135000,137900,134000,129900,127000,124950,129000,129450,134000,129900,129900,129900,139900,139900,139000,139700,144400,143900,139900,139995,138000,134900,134900,132000,134900,134900,145000,139900,133900,130000,132900,139900,139900,139900,138250,138500,139990,149900,149900,155450,159950,159900,159900,164500,159900,154900,148000,153700,150000,153900,149900,150000,150000,148500,149925,150000,149450,149900,159900,156149,157500,156399,154900,154900,157250,159450,153900,159900,159950,164425,160000,163725,161750,169850,172400,167000,163950,160000,160000,163000,169450,169900,169450,169000
"North Druid Hills","GA","Atlanta","Dekalb",573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000,145000,158000,158700,161200,162450,154900,158450,168900,168900,167000,165000,170400,192900,188500,199900,192450,190000,194900,209890,2e+05,199950,195000,215000,192450,220000,2e+05,192000,199900,188000,2e+05,192250,199950
"Winter Haven","FL","Lakeland","Polk",574,79900,83000,75000,69950,69700,69700,69000,69500,69950,67900,61750,59900,60000,59900,60000,60000,69000,69900,65000,63000,61000,59900,55000,56850,56000,55000,52500,49500,48750,49500,48625,49900,49900,49900,53700,53900,58900,55000,55950,55000,52700,50000,55900,52900,59800,58750,62000,59450,59900,54000,55000,59900,59900,63750,71450,64950,57450,57450,52500,52500,53950,62200,57950,57000,58900,62900,62900,61500,62500,63900,62000,65000,64900,64900,64900,69500,69900,69450,69650,69400,73000,75500,74900,77900,79900,76200,76500,73900,72050,75900,78750,78500,74950
"Hercules","CA","San Francisco","Contra Costa",575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000,315000,330000,350000,345000,323888,319900,306944,325000,329000,304888,290000,295000,329000,349000,349000,350000,350000
"Sedona","AZ","Prescott","Yavapai",576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,275000,298700,299900,329000,329000,329900,324900,289000,337450,329900,330000,360000,349450,292000,289900,288750,279900,289000,289900,282000,272000
"Brookfield","CT","Stamford","Fairfield",577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269900,269900,269900,269900,249900,269900,249950,249700,240000,249900,240000,249000,234500,237000,237000,228900,224900,225000,229900,240000,234500,250000,264950,289000,299500,294500,269000,269900,279000,282200,269900,294500,269900,294500,269900,240000,264900,269900,259000,279000,279000
"Newtown","CT","Stamford","Fairfield",578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354995,352495,354995,354995,362995,357995,365495,360495,360495,357995,383195,370697.5,372395,357757.5,361495,399995,399997.5,399497.5,399000,373495,355000,355000,353997.5,352995,331495,350000,331495,327447.5,324995,329995
"New Smyrna Beach","FL","Daytona Beach","Volusia",579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,285000,290500,275000,299900,268000,297850,309900,299000,299500,299000,304950,299950,341950,325000,304450,299000,299000,279500,274950,282000,275000,289900,285000,285000,289450,315000,316500,290000,289900,320000,315000,325000,327400,319000,299000
"Town of Amesbury","MA","Boston","Essex",580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239900,238900,249900,249900,249900,239900,245900,259900,244900,233700,249900,249900,242500,249900,243950,239900,239900,242900,226900,219900,255000,272000,289450,279900,283500,270000,257000,272450,269900,267400
