"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,398709,"Quemahoning Township","PA","Somerset","Somerset",9216,94500,-0.0104712041884817,-0.00630914826498423,0.0617977528089888,0.00647303254846365,0.0077257952426748,"2008-02","2008-Q1",98100,-0.036697247706422,"2008-01"
2017-09-30,397956,"Bristol","WI","Madison","Dane",9217,332100,0.000602591141910214,-0.00539083557951483,0.0218461538461538,0.0434338393469027,0.0146317401982399,"2017-03","2017-Q1",337600,-0.0162914691943128,"2017-02"
2017-09-30,34925,"Wyandotte","OK","Miami","Ottawa",9218,131300,-0.0324244657332351,0.0281910728269381,0.186088527551942,0.0602486547080192,0.0673844275484841,"2017-08","2017-Q3",135700,-0.0324244657332351,"2017-07"
2017-09-30,44065,"Bayville","NY","New York","Nassau",9219,536800,0,-0.0132352941176471,0.013595166163142,0.0405715939588083,-0.0027160608405068,"2005-08","2005-Q3",579700,-0.0740037950664137,"2004-11"
2017-09-30,36999,"Wrightsville","PA","York","York",9220,125400,0.00480769230769231,0.0121065375302663,0.0913838120104438,0.0282401483259132,0.0000797798119196447,"2008-09","2008-Q3",128600,-0.0248833592534992,"2008-03"
2017-09-30,189331,"Leisuretowne","NJ","Philadelphia","Burlington",9221,135500,0.00818452380952381,0.0218702865761689,0.0407066052227343,0.049541301160529,-0.0261437415122019,"2006-04","2006-Q2",180400,-0.248891352549889,"2003-10"
2017-09-30,15265,"Lake Dallas","TX","Dallas-Fort Worth","Denton",9222,208500,0.0067600193143409,0.0306475531389026,0.108452950558214,0.0955713039115189,0.0384294641148137,"2017-09","2017-Q3",208500,0,"2017-09"
2017-09-30,11035,"Dalzell","SC","Sumter","Sumter",9223,103500,0.00193610842207164,0.0087719298245614,0.0237388724035608,0.0236138274813444,,"2017-09","2017-Q3",103500,0,"2017-09"
2017-09-30,23804,"Braham","MN","Minneapolis-St Paul","Isanti",9224,150500,-0.0019893899204244,-0.0019893899204244,-0.025259067357513,0.089143245388716,-0.0105858783890384,"2007-02","2007-Q1",178300,-0.155916993830623,"2004-01"
2017-09-30,57037,"Stoneboro","PA","Youngstown","Mercer",9225,127000,0.0233682514101531,0.0452674897119342,0.052195526097763,0.0479185587805147,0.0331025619324454,"2017-09","2017-Q3",127000,0,"2017-09"
2017-09-30,53481,"Naples","UT","Vernal","Uintah",9226,149700,-0.00266489007328448,-0.0354381443298969,-0.11262596324837,-0.0225693153896894,-0.0268362470500342,"2005-03","2005-Q1",197700,-0.242792109256449,
