"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Kentucky","State","Kentucky","All Homes",23127,23052,23068,22978,22412,22139,22608,23209,23544,23700,24051,24405,24541,24847,25373,25913,26232,26284,26288,26067,25808,25941,25850,25249,24872,24831,24595,24140,23964,23913,23535,23220,23155,23059,23128,23415,23637,24014,24560,24880,24884,24468,23888,23571,23449,23362,23231,23089,22894,22562,22442,22711,22988,23193,23403,23480,23410,23241,23055,22901,22632,22122,21375,20754,20680,20875,20858,20649,20391,20031,19597,19240,18919,18597,18469,18471,18302,18103,18069,17990,17807,17646,17539,17499,17566,17545,17137,16483,15966,15702,15585,15575,15542
"Oregon","State","Oregon","All Homes",29027,29616,30987,31369,30430,29883,29834,29626,29404,29266,29352,29585,29668,29936,30353,30077,29194,28901,29266,28976,28101,28078,28673,28843,28633,27812,26036,24251,23413,22935,21999,21115,20820,20582,20119,19824,20009,20303,20311,20346,20332,19951,19761,20117,20473,20513,20422,20304,20091,19867,19965,20736,21700,21989,21735,21503,21393,21058,20362,19762,19406,19114,18889,18865,19006,18869,18488,18244,17982,17542,17072,16613,16164,15752,15505,15440,15368,15398,15523,15505,15436,15419,15367,15353,15248,14787,14281,13956,13769,13867,14126,14323,14411
"Oklahoma","State","Oklahoma","All Homes",22207,22376,22743,22763,22194,21777,21886,22509,23424,24049,24657,25385,25694,25526,25424,25404,25173,25397,25854,25451,24714,24518,24514,23896,22848,22349,22079,21721,21871,21778,20796,20067,19975,19910,19789,19787,19911,19899,19827,19933,19997,19833,19647,19494,19221,18956,18776,18673,18588,18332,18128,18334,18660,18736,18752,18846,18840,18620,18245,18046,18131,18061,17567,17200,17338,17468,17634,17988,18251,18454,18599,18539,18425,18624,19173,19548,19380,19252,19443,19527,19407,19163,18898,18891,19227,19800,20203,20027,19674,19653,19820,19878,19822
"Connecticut","State","Connecticut","All Homes",25106,25375,25459,24930,24025,23440,23086,22720,22673,23158,24217,25456,26153,26262,26503,26984,27149,27533,28622,29253,29187,29214,29137,28762,28403,28695,29393,29460,29153,28680,27657,26606,25723,24679,23958,23729,23729,23858,23765,23475,23180,22810,22429,22386,22789,23206,23483,23644,23624,23517,23445,23890,24853,25564,25802,25834,25948,26299,26245,25674,25373,24926,24275,24226,24635,25062,25285,25304,25309,25134,24632,23965,23230,22796,22788,22705,22327,21941,21586,21121,20842,20779,20732,20910,21060,20766,20136,19375,18718,18192,18346,19234,19651
"Iowa","State","Iowa","All Homes",13142,13249,13570,13721,13476,13363,13552,13876,14419,14875,15348,15986,16394,16812,17413,17825,17986,18066,18217,18231,17911,17698,17651,17470,17295,17194,17196,17244,17227,17189,16950,16609,16425,16272,15919,15532,15616,15968,16145,16299,16390,16262,16104,15970,15755,15582,15495,15310,15021,14743,14775,15195,15510,15591,15592,15509,15418,15294,15074,14878,14749,14555,13675,12395,12062,12242,12228,12274,12392,12483,12507,12503,12353,12085,12108,12388,12509,12576,12742,12780,12689,12722,12957,13246,13363,13247,13094,12929,12563,12201,12056,12185,12540
"Mississippi","State","Mississippi","All Homes",13547,13511,13581,13711,13634,13654,13845,13824,13857,13953,13819,13669,13744,14059,14441,14674,14571,14293,14175,13999,13601,13305,12995,12604,12535,12724,12740,12550,12462,12426,12122,11752,11564,11638,12086,12492,12608,12694,12905,13142,13287,13328,13308,13355,13378,13170,12923,12818,12568,12108,12003,12398,12712,12720,12653,12685,12706,12582,12478,12535,12597,12576,11902,10643,10143,10301,10449,10584,10756,11152,11493,11498,11349,11236,11451,11947,12250,12371,12485,12676,12905,12872,12673,12642,12769,12728,12556,12497,12305,12075,12100,12134,12052
"Arkansas","State","Arkansas","All Homes",18482,18421,18502,18477,18301,18440,18727,18779,18673,18600,18586,18634,19175,20020,20584,20851,20662,20396,20522,20487,20040,19730,19712,19632,19322,19009,18957,19076,19279,19264,18934,18952,19297,19478,19499,19403,19220,19145,19451,20052,20562,20675,20151,19481,19460,19814,19995,19966,19771,19513,19576,20107,20275,19766,19440,19573,19797,19868,19803,19767,19694,19462,18209,16282,15574,16012,16692,17009,16852,16741,16719,16754,16893,17089,17471,17972,18290,18410,18397,18267,18030,17695,17413,17326,17287,17117,17024,16769,16203,15993,16111,16259,16372
"Kansas","State","Kansas","All Homes",16560,16745,17220,17407,17384,17650,17790,17754,17797,17571,17253,17205,17114,17072,17378,17572,17317,17122,17194,17077,16772,16608,16414,16058,15832,15766,15587,15006,14132,13402,12987,12797,12577,12363,12261,12231,12381,12455,12254,12105,12044,11882,11722,11648,11595,11566,11621,11686,11584,11318,11179,11482,11928,12027,11850,11641,11576,11588,11466,11317,11283,11169,10647,10141,10262,10499,10561,10632,10655,10684,10740,10687,10468,10285,10299,10436,10587,10759,10896,10946,10927,10869,10865,10930,11025,11017,10948,10937,10820,10653,10562,10572,10663
"Utah","State","Utah","All Homes",17251,17126,17424,17590,17072,16481,15933,15695,16015,16225,16507,17153,17670,18283,18917,19000,18706,18622,18759,18440,17794,17509,17423,17149,16708,15976,14902,14015,13661,13372,12933,12640,12408,12120,11802,11423,11198,11217,11419,11896,12384,12544,12685,12967,13139,13280,13460,13531,13481,13446,13796,14519,14955,15042,14987,14709,14422,14174,13775,13373,13124,12841,11959,10670,9925,9566,9229,9072,9083,9110,8974,8706,8557,8627,8842,9029,9150,9446,9723,9711,9545,9375,9229,9054,8802,8477,8212,8073,7938,7764,7702,7846,8033
"Nevada","State","Nevada","All Homes",23288,23368,23389,23019,22493,22402,22922,23707,25212,27032,27862,28091,28302,28683,29664,30731,30920,30870,31134,30831,30067,29582,28880,27654,26536,25607,24459,23439,22877,21785,19901,18180,15703,12573,11401,11669,11529,11243,11088,10993,10973,10896,10866,11218,11965,12784,13394,13677,13663,13645,13788,14010,14205,14196,14016,13952,14225,14583,14695,14703,14785,14752,14509,14229,13905,13801,13998,14110,14232,14422,14308,14005,13911,13998,14070,14027,14528,15901,17269,18043,18174,17912,17438,16914,16624,16521,16443,16362,16020,15251,14363,13667,13249
