"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66025641025641,1.64556962025316,1.6,1.58130081300813,1.61230195712954,1.6390625,1.63636363636364,1.57766990291262,1.5625,1.60123060460139,1.61538461538462,1.66445035460993,1.7,1.70542328042328,1.796875,1.8,1.70714285714286,1.8,1.79166666666667,1.8417325182645,1.69270833333333,1.8,1.79445350734095,1.85255165106834,1.73772011121409,1.70588235294118,1.71532846715328,1.75,1.80868167202572,1.8125,1.84,1.82943237893824,1.78421052631579,1.73766816143498
"Virginia",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996179389870092,0.905373831775701,0.892857142857143,1.0287037037037,1.05371900826446,1.02777777777778,1.07744140498333,1.03587962962963,1.03157982215574,1.05555555555556,1.05131499920974,1.08518086347725,1.1,1.1,1.00111234705228
"Washington",13,,,,,,,,,,,,,,,,0.962898438508195,0.968069334757314,0.911764705882353,0.844594594594595,0.846153846153846,0.84375,0.845410628019324,0.859375,0.857300884955752,0.857142857142857,0.874125874125874,0.886526709434192,0.911126273653566,0.909090909090909,0.923076923076923,0.92964824120603,0.948196114708603,0.97813832655262,1.03448275862069,1.06779912079511,1.04117647058824,1.05487228003784,1.05907278165503,1.07011443227779,1.08567059851464,1.06521739130435,1.03125,1.02564102564103,1.03098290598291,1.0171875,1.02777777777778,1.03125,1.05034722222222,1.03825136612022,1.05294117647059,1.08805361305361,1.15384615384615,1.13541666666667,1.14895353302611,1.15223463687151,1.195,1.1474358974359,1.18,1.19075829383886,1.15358974358974,1.13513513513514,1.15,1.19001865671642,1.3,1.31414473684211,1.22315774323546,1.27496438746439,1.25,1.25,1.29516129032258,1.27906976744186,1.18875,1.36515151515152,1.37588746484717,1.41616465863454,1.53102336825141,1.5625,1.56617071260767,1.58658170914543,1.55293096995883,1.65
"Massachusetts",14,,,,,,,,,,,,1.65,1.79921171171171,1.75,1.92015484704217,2,2.09338662790698,2.14489216436958,2.07549857549858,1.93236714975845,1.88384175984443,1.88888888888889,1.92307692307692,2,1.99666666666667,2.0952380952381,2.15729166666667,2.26879454647621,2.33333333333333,2.38461538461538,2.34937722419929,2.28571428571429,2.16095380029806,2.09090909090909,2.11236933797909,2.08571428571429,1.9047619047619,2.1,2.0995145631068,2.13333333333333,2.31851119894598,2.33333333333333,2.3548002713157,2.21518987341772,2.1625,2.09961832061069,2,1.88235294117647,2.09750566893424,2.2169807834442,2.3,2.375,2.325,2.27857142857143,2.29087150127226,2.18985507246377,2.11742059672762,2.03480629539952,2.04545454545455,2.11875,2.21153846153846,2.280625,2.33598378546929,2.375,2.4,2.2622641509434,2.4,2.25,2.17948717948718,2.11111111111111,2.0066889632107,2.11111111111111,2.2375,2.30769230769231,2.35,2.42108969607116,2.41666666666667,2.39334027055151,2.34705882352941,2.23156192853163,2.2271714922049
"Indiana",15,,,,,,,,,,,,,,,,0.689111747851003,0.713470319634703,0.664705882352941,0.611111111111111,0.600961538461538,0.635593220338983,0.692963752665245,0.679691858302857,0.640873015873016,0.666666666666667,0.669230769230769,0.644957983193277,0.665186500888099,0.681552057442695,0.691570512820513,0.6875,0.693671850206284,0.756189527107214,0.778546712802768,0.758558558558559,0.795454545454545,0.77331759149941,0.773333333333333,0.773006134969325,0.77331759149941,0.78125,0.764904386951631,0.757702702702703,0.764904386951631,0.757142857142857,0.758877434135166,0.770815295815296,0.78125,0.801988636363636,0.7796875,0.772727272727273,0.78125,0.78125,0.755247671198389,0.765686274509804,0.758985904679338,0.776388888888889,0.755208333333333,0.754962657232704,0.713878016960209,0.730337078651685,0.746082730283331,0.785714285714286,0.75,0.769986893840105,0.763358778625954,0.763091143354872,0.757142857142857,0.833333333333333,0.8125,0.8,0.804925493354813,0.785432701332833,0.792537313432836,0.835755813953488,0.865333333333333,0.819064783725064,0.78,0.875,0.838461538461538,0.775193798449612
"Arizona",16,,,,,,,,,,0.673660857785737,0.672785507645681,0.678921568627451,0.785613492810106,0.843520782396088,0.846153846153846,0.846153846153846,0.882222222222222,0.8125,0.75,0.75,0.75,0.737179487179487,0.731182448608488,0.75,0.75,0.759209823812066,0.769013077221142,0.78125,0.77757048092869,0.772200772200772,0.78125,0.77319587628866,0.797296180912607,0.814840499306519,0.812641083521445,0.79415501905972,0.795334040296925,0.789049919484702,0.78551912568306,0.8,0.8,0.795383522727273,0.789772727272727,0.775555555555556,0.774318458607876,0.780264292151561,0.76969696969697,0.773268398268398,0.767459708365311,0.775656324582339,0.78125,0.800228702115495,0.799473684210526,0.8125,0.822784810126582,0.8125,0.807142857142857,0.794117647058823,0.78125,0.78125,0.78125,0.78125,0.822485207100592,0.836335005292668,0.824547533408773,0.816249050873197,0.816,0.85,0.829166666666667,0.823529411764706,0.851305334846765,0.841970998925886,0.86875,0.873015873015873,0.95414201183432,0.996851666841939,0.984826954654541,0.99601593625498,0.996563573883162,0.98769925438197,0.984776457272213
"Tennessee",17,,,,,,,,,,,,,0.612335282743008,0.598579754601227,0.578947368421053,0.574193548387097,0.5625,0.541666666666667,0.5625,0.583333333333333,0.656330128205128,0.658813747228381,0.661904761904762,0.636942675159236,0.660180681028492,0.642857142857143,0.65998023715415,0.653410922690051,0.63777994157741,0.633156028368794,0.659135298295455,0.683333333333333,0.694808031774051,0.724583333333333,0.75,0.703485576923077,0.669924812030075,0.671428571428571,0.678467000835422,0.69047619047619,0.75,0.722222222222222,0.715704663344275,0.6591796875,0.694722222222222,0.685603448275862,0.653233167377904,0.666666666666667,0.701800232288037,0.704573547589617,0.701800232288037,0.708333333333333,0.706713780918728,0.691056910569106,0.707142857142857,0.706185567010309,0.681818181818182,0.688238188976378,0.643382352941177,0.642791551882461,0.672413793103448,0.695,0.729967948717949,0.745884773662551,0.732142857142857,0.730769230769231,0.71,0.694722222222222,0.675812369302205,0.694444444444444,0.695,0.704545454545455,0.742574257425743,0.719081272084806,0.742574257425743,0.742574257425743,0.742574257425743,0.769230769230769,0.789473684210526,0.762820512820513,0.745823742763479
"Missouri",18,,,,,,,,,,,,,,,,,,,,,0.55,0.55,0.55,0.565714285714286,0.565022421524664,0.540909090909091,0.535746977708271,0.547619047619048,0.548387096774194,0.548907388137357,0.600850553510645,0.613496932515337,0.654321907600596,0.724945908733281,0.75,0.686546463245492,0.681818181818182,0.691952506596306,0.692130099451999,0.693019211004823,0.638888888888889,0.642857142857143,0.647058823529412,0.638461538461538,0.638888888888889,0.625,0.612007168458781,0.617647058823529,0.656514830508475,0.666666666666667,0.666666666666667,0.658333333333333,0.66045066045066,0.634566575556423,0.661375661375661,0.666666666666667,0.666666666666667,0.663452380952381,0.646000445632799,0.6,0.625,0.617647058823529,0.625,0.625,0.633695652173913,0.599546632124352,0.691850594227504,0.678571428571429,0.682508281192492,0.677830940988836,0.706344317831845,0.707569808027923,0.7,0.696428571428571,0.700861393891934,0.691153238546603,0.688461538461538,0.699043414275202,0.725,0.75,0.747058823529412
"Maryland",19,,,,,,,,,,,,,,1.5246172280655,1.62209302325581,1.48609779482263,1.52413793103448,1.40578130173513,1.25,1.22510133178923,1.21428571428571,1.21739130434783,1.21231814929645,1.17821455505279,1.1666277803702,1.26969696969697,1.2633971291866,1.25,1.24436936936937,1.2396694214876,1.26515151515152,1.28300840509976,1.32004223652454,1.31086142322097,1.25,1.26178010471204,1.25,1.24242424242424,1.29603556485356,1.31578947368421,1.34963377023901,1.33333333333333,1.31406801637142,1.3,1.31342704928443,1.31205673758865,1.33053221288515,1.29596412556054,1.33333333333333,1.28867539414414,1.30329833820902,1.35644310474755,1.38888888888889,1.43047624689018,1.38888888888889,1.39087301587302,1.39645776566757,1.38095238095238,1.36306818181818,1.34285714285714,1.40909090909091,1.4524506523921,1.52477763659466,1.56412930135558,1.55037593984962,1.55128968253968,1.51325757575758,1.52101810790835,1.48814846084061,1.51368846298384,1.42156862745098,1.5269291560084,1.5,1.46856465005931,1.49696545284781,1.52477763659466,1.531993364862,1.56409102515001,1.53846153846154,1.53846153846154,1.44337606837607
"Wisconsin",20,,0.603318554346366,0.603318554346366,0.620408163265306,0.60508658008658,0.589275191514437,0.657357954545455,0.692857142857143,0.589275191514437,0.594497607655502,0.680697496167604,0.744974874371859,0.662063120702827,0.589285714285714,0.604347826086956,0.688679245283019,0.75,0.762599469496021,0.771818181818182,0.708991298743152,0.710745649371576,0.7585,0.762187921727395,0.788102062237978,0.792682926829268,0.792682926829268,0.833333333333333,0.825,0.829166666666667,0.869157608695652,0.833333333333333,0.856344462121567,0.85,0.844339622641509,0.870751728110599,0.945359930615785,0.921875,0.875,0.881317315658658,0.929961089494163,0.994348659003831,0.963157894736842,0.931034482758621,0.936329588014981,0.829166666666667,0.947110904007456,1.08333333333333,1.07058823529412,1.1108776559689,1.08285714285714,1.08974358974359,0.993091537132988,1.00438276113952,1.06666666666667,1.03092783505155,0.936397058823529,0.918946228798268,0.964901477832512,0.966666666666667,0.795227272727273,0.825,0.779086484672186,0.852380952380952,0.84,0.811875,0.830555555555556,0.824780701754386,0.78125,0.795601552393273,0.817592545703145,0.862656072644722,0.847993492407809,0.862163509471585,0.963235294117647,1,1,1,0.997102394688754,0.938967136150235,0.904313399102043,0.91
"Colorado",21,,,,,,,,,0.845,0.794351898592181,0.820436507936508,0.814256814310051,0.894851878612717,1,1.12903225806452,1,1.07783929552507,1,0.892857142857143,0.891812865497076,0.866666666666667,0.868519756387403,0.912380952380952,0.914868233618234,0.959259259259259,0.95613771555609,0.966666666666667,0.995561092654116,1,1.01698113207547,1.06164383561644,1.05459558823529,1.03125,1.02526315789474,1.125,1.08443908323281,1.1,1.10429447852761,1.11819852941176,1.125,1.07734507483595,1.09375,1.11111111111111,1.16666666666667,1.17792207792208,1.11764705882353,1.13523302938197,1.1902380952381,1.2413133392266,1.29814814814815,1.32205882352941,1.33101851851852,1.28854364326376,1.29333333333333,1.34057605700074,1.32795138888889,1.36904761904762,1.37142857142857,1.39487718240321,1.45161290322581,1.47224852071006,1.48359788359788,1.5,1.45197955789783,1.487826871055,1.48209164683629,1.4375,1.40384615384615,1.43541666666667,1.43640498652291,1.41196705931408,1.36706730769231,1.39625585023401,1.53325123152709,1.52625152625153,1.53846153846154,1.58898944193062,1.58552141527002,1.51488569909623,1.54166666666667,1.53333333333333
"Alabama",22,,,,,,,,,,,,,,,,0.62,0.615530303030303,0.632530120481928,0.615991313478427,0.628765060240964,0.611946386946387,0.647058823529412,0.673122482823975,0.62578320802005,0.643398268398268,0.684659090909091,0.705871886120996,0.666666666666667,0.6875,0.681818181818182,0.7,0.697641766728151,0.711892797319933,0.745614035087719,0.719584569732938,0.750663716814159,0.757575757575758,0.731308522907218,0.72,0.730769230769231,0.841548946716233,0.743801652892562,0.698529411764706,0.664946808510638,0.681818181818182,0.657518796992481,0.689213514261977,0.688405797101449,0.667191360833258,0.664588204728501,0.666666666666667,0.657894736842105,0.647540826128722,0.648333333333333,0.646666666666667,0.666906993511175,0.659444182760245,0.653556242752223,0.66875,0.677521008403361,0.681818181818182,0.69718438448926,0.699899295065458,0.660272669625872,0.720930232558139,0.662957954266044,0.65,0.70877531340405,0.681818181818182,0.665260901699926,0.6875,0.639721951219512,0.650682382133995,0.696988098129706,0.695332219417683,0.7,0.722222222222222,0.689903846153846,0.699813432835821,0.692307692307692,0.680105070808588
"South Carolina",23,,,,,,,,,,,,,,,0.873631439319272,0.86960893004652,0.871916508538899,0.835051546391753,0.74375,0.720081135902637,0.729166666666667,0.745,0.765610859728507,0.729166666666667,0.837249373433584,0.841165413533835,0.8325,0.8325,0.817785714285714,0.818298122065728,0.827638572513288,0.78930245114666,0.877777777777778,0.847262247838617,0.806944444444444,0.841052631578947,0.875540345821326,0.854700854700855,0.834364686468647,0.85,0.877064736065228,0.876080691642651,0.909090909090909,0.865187629272136,0.855859375,0.885,0.817833556691559,0.774190647482014,0.797952047952048,0.811045761749987,0.860119047619048,0.823852617970265,0.813008130081301,0.908488527655096,0.896700381299773,0.938303341902314,0.909703504043127,0.875,0.861111111111111,0.883333333333333,0.966952054794521,0.956521739130435,0.969815112540193,1.04383992805755,0.876080691642651,0.902708124373119,0.891786190752811,0.933333333333333,0.81226178603896,0.821428571428571,0.944946965232764,0.883658008658009,1.01756198347107,1,0.977198697068404,0.976136363636364,0.989511530266951,1.00330760749724,0.998286203941731,0.95,0.95
"Louisiana",24,,,,,,,0.927455357142857,0.866666666666667,0.848076923076923,0.844820128325283,0.854174645729606,0.89907192575406,0.908333333333333,0.922947857511616,0.922619047619048,0.882572227399814,0.893948948948949,0.894109195402299,0.883333333333333,0.888363363363363,0.883333333333333,0.883333333333333,0.883333333333333,0.866666666666667,0.863636363636364,0.863636363636364,0.941666666666667,0.941666666666667,0.941666666666667,0.941666666666667,1,1,1,1,0.989729225023343,1,0.970089285714286,0.93452380952381,0.962715517241379,1,1.05483001658375,1,1,1,0.990625,1,1,0.988372093023256,0.963180534155111,0.933333333333333,0.945829750644884,1.0472027972028,1.04454890460583,1.11752069515142,1.07816711590296,1.08214285714286,1.04545454545455,1.01010101010101,1.01805265042305,1.04308193064102,1.0078564727955,1.02564102564103,1.05971479500891,1.04947552447552,1.03645833333333,1.07142857142857,1.06666666666667,1.02540205988482,1,1.125,1.0625,1.06125,1.06866077847386,1.08333333333333,1.1875,1.26811594202899,1.3,1.27272727272727,1.24670087773287,1.22069184089114,1.2
"Kentucky",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.776122112211221,0.705467372134039,0.678571428571429,0.666666666666667,0.660606060606061,0.663775510204082,0.673613597813796,0.757575757575758,0.749812593703148,0.75,0.722222222222222,0.722222222222222,0.722222222222222,0.724568965517241,0.722222222222222,0.741839762611276,0.741839762611276,0.724264705882353,0.710914085914086,0.71875,0.741839762611276,0.76,0.794558823529412,0.725,0.776155717761557,0.722651802656546,0.723611111111111,0.722727272727273,0.8,0.755703422053232,0.76563681852563,0.76920260856677,0.786978221415608,0.801011804384486,0.805882352941176,0.805555555555556,0.788246268656716,0.774417284072809,0.763157894736842
"Oregon",26,,,,,,,,,,,,,,,,,,,0.742689255189255,0.752164502164502,0.728125,0.742857142857143,0.749306839186691,0.764767932489452,0.787268518518519,0.805070357907617,0.85,0.866342288011696,0.852941176470588,0.844827586206897,0.843296916479477,0.852941176470588,0.880681818181818,0.90625,0.922920892494929,0.926935659760087,0.92948717948718,0.935294117647059,0.958333333333333,0.975304878048781,1.02555970149254,1,0.994444444444444,0.985477178423237,0.995238095238095,0.97,0.957764423076923,0.953429487179487,0.972222222222222,1.07753973417604,1.11003861003861,1.10440891472868,1.11614266396214,1.10109402464677,1.12307692307692,1.16239705416535,1.17768712768713,1.11682352941176,1.05,0.946004220570695,0.989454094292804,1.02083333333333,1.125,1.10578606442577,1.07758295625943,1.08333333333333,1.12292751108541,1.15176335980617,1.21283783783784,1.18797750424448,1.13793103448276,1.11850060459492,1.2202380952381,1.25,1.3,1.37674925032129,1.41574585635359,1.38221153846154,1.37550721370604,1.38137644508671,1.36017656500803
"Oklahoma",27,,,,,,,,,,,,,,,,,,,,,0.639540110028406,0.668421052631579,0.640394088669951,0.645197044334975,0.669411764705882,0.637626262626263,0.641176470588235,0.668421052631579,0.68114224137931,0.698193473193473,0.679681063904908,0.650190234885514,0.675795053003534,0.678327645051195,0.68941504178273,0.7,0.702247191011236,0.700082372322899,0.7,0.707738095238095,0.715695952615992,0.71875,0.691881918819188,0.686378035902851,0.678571428571429,0.678571428571429,0.6875,0.713470319634703,0.702686095505618,0.713470319634703,0.713470319634703,0.713470319634703,0.704585401157982,0.697913354531002,0.696428571428571,0.7,0.699745547073791,0.696862934362934,0.689535107098261,0.668449197860963,0.7,0.687257726092678,0.654054054054054,0.668651260833978,0.668202764976959,0.7,0.656953093611892,0.676852258692761,0.668154761904762,0.696022727272727,0.676609848484849,0.699013157894737,0.683453237410072,0.7,0.728749393056567,0.75,0.75,0.74375,0.734265350877193,0.743475168532377,0.739130434782609
"Connecticut",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05263157894737,1.05470583633234,1.06824925816024,1.00446428571429,1.02941176470588,1.05519480519481,1.05,1.0104852876592,1.01518171371113,1.03245856353591,1,0.95,0.955602108036891,0.968947784810127,0.979991996798719,1,1,1.01207590569293,1,0.997874186417024,0.96875,0.944444444444444,0.9375,0.96875,0.992063492063492,1,1.01036269430052,1.01540616246499,1.02083333333333,1.00806451612903,1.02352718215291,1.01010101010101,1,1,0.995445344129555,1.01854674796748,1.02366255144033,1.06666666666667,1.06742424242424,1.04490469208211,1.05555555555556,1.05,1.0231949120838,0.991408232161204
