"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,11,"Connecticut",28,246900,0.00406669377795852,0.00734394124847001,0.0253322259136213,0.0141055373832886,-0.015825171445212,"2006-06","2006-Q2",293400,-0.158486707566462,"2004-05"
2017-09-30,19,"Iowa",29,128300,0.00469851213782302,0.0118296529968454,0.0305220883534137,0.0259035742230163,,"2017-09","2017-Q3",128300,0,"2017-09"
2017-09-30,34,"Mississippi",30,114400,0.000874890638670166,0.00881834215167548,0.0278526504941599,0.013464286902896,0.0164264920835642,"2009-07","2009-Q3",127100,-0.0999213217938631,"2009-01"
2017-09-30,6,"Arkansas",31,121500,0.00330305532617671,0.0125,0.0704845814977974,0.0298172398672749,0.0145093496385273,"2017-09","2017-Q3",121500,0,"2017-09"
2017-09-30,23,"Kansas",32,126100,0.00158856235107228,0.0047808764940239,0.0404290429042904,0.025652411633218,,"2017-09","2017-Q3",126100,0,"2017-09"
2017-09-30,55,"Utah",33,254200,0.00157604412923562,0.0103338632750397,0.0748414376321353,0.0742308581591906,0.000394244542493372,"2008-01","2008-Q1",259700,-0.0211782826338082,"2007-10"
2017-09-30,42,"Nevada",34,247200,0.0102165917449939,0.027431421446384,0.099644128113879,0.131471615081223,-0.0129795248488939,"2006-04","2006-Q2",310600,-0.204121056020605,"2004-08"
2017-09-30,41,"New Mexico",35,171600,-0.004062681369704,-0.0183066361556064,0.03125,0.017425248933334,-0.0107571054008455,"2009-05","2009-Q2",196300,-0.125827814569536,"2005-04"
2017-09-30,61,"West Virginia",36,102200,0.00392927308447937,0.00689655172413793,0.0189431704885344,0.0262068560307891,,"2017-03","2017-Q1",102400,-0.001953125,"2017-03"
2017-09-30,38,"Nebraska",37,152400,0.00793650793650794,0.018716577540107,0.0770318021201413,0.0437968240855611,0.0194477435363596,"2017-09","2017-Q3",152400,0,"2017-09"
2017-09-30,20,"Idaho",38,196800,0.00459418070444104,0.0212765957446809,0.100055897149245,0.0686563716010953,0.00107338288751002,"2017-09","2017-Q3",196800,0,"2017-09"
2017-09-30,18,"Hawaii",39,604600,0.00198873052701359,-0.00165125495376486,0.0553325187641822,0.0667393587350991,0.0115701278191358,"2017-05","2017-Q2",606700,-0.00346134827756717,"2017-05"
2017-09-30,28,"Maine",40,207400,0.00144857556735876,0.0146771037181996,0.0448362720403023,0.0323243795353079,-0.00275433947706794,"2006-06","2006-Q2",222000,-0.0657657657657658,"2005-01"
