"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,276620,"Upper Peralta Creek","CA","San Francisco","Alameda","Oakland",3581,562700,0.00860369241799606,0.00824225049274324,0.0812836279784781,0.177105837910913,,"2017-09","2017-Q3",562700,0,"2017-09"
2017-09-30,274871,"Ocean Avenue","ME","Portland","Cumberland","Portland",3582,248000,0.00323624595469256,0.0143149284253579,0.0593763348996156,0.0421954109408544,0.00951147190542723,"2017-09","2017-Q3",248000,0,"2017-09"
2017-09-30,415895,"Scioto Trace","OH","Columbus","Franklin","Columbus",3583,200400,0.00400801603206413,0.0131445904954499,0.0591966173361522,0.0419227302342948,0.0122654409826992,"2017-09","2017-Q3",200400,0,"2017-09"
2017-09-30,272850,"Baltimore","AL","Mobile","Mobile","Mobile",3584,46200,0.0198675496688742,0.0221238938053097,0.0523917995444191,0.00261783688007933,,"2010-08","2010-Q3",57400,-0.195121951219512,
2017-09-30,50336,"Sagamore Beach","MA","Cape Cod","Barnstable","Bourne",3585,393700,0.00742067553735926,0.0249934912783129,0.0643417139767505,0.0433047763381855,0.00102172016129032,"2006-02","2006-Q1",407400,-0.0336278841433481,"2005-02"
2017-09-30,344028,"Mt. Baker","WA","Seattle","King","Seattle",3586,916700,0.00383267630310994,0.0198019801980198,0.104990356798457,0.112265085515955,0.0362611590844331,"2017-09","2017-Q3",916700,0,"2017-09"
2017-09-30,275402,"Soulard","MO","St. Louis","Saint Louis City","Saint Louis",3587,228700,-0.0103851146689745,-0.0184549356223176,0.0490825688073395,0.0379919640706126,0.00596272584632662,"2017-05","2017-Q2",233500,-0.0205567451820128,"2017-01"
2017-09-30,271227,"Upper Lawrenceville","PA","Pittsburgh","Allegheny","Pittsburgh",3588,86600,0.0152403282532239,0.0152403282532239,0.113110539845758,0.10235443055562,0.0747899073839073,"2017-09","2017-Q3",86600,0,"2017-09"
2017-09-30,343581,"Midvale Heights Community","WI","Madison","Dane","Madison",3589,268600,-0.00185804533630621,0.00787992495309569,0.0220700152207002,0.0427249266819756,0.0180512128471984,"2017-03","2017-Q1",269700,-0.00407860585836114,"2017-03"
2017-09-30,272124,"Heistand","WI","Madison","Dane","Madison",3590,211000,0.00237529691211401,0.0183397683397683,0.0776302349336057,0.0456395525912732,0.0127454636742346,"2017-09","2017-Q3",211000,0,"2017-09"
2017-09-30,270448,"North Eastern","NM","Albuquerque","Bernalillo","Albuquerque",3591,166400,-0.00656716417910448,-0.0469644902634593,0.0103217972070431,0.0156089518895643,-0.0132792051310673,"2007-12","2007-Q4",193300,-0.139161924469736,"2006-07"
2017-09-30,269507,"River Bend","IA","Des Moines","Polk","Des Moines",3592,106600,0.0142721217887726,0.0492125984251969,0.0181470869149952,0.0274519121745924,0.0104233683178527,"2017-01","2017-Q1",113000,-0.0566371681415929,"2016-10"
2017-09-30,417700,"Lyon's Gate","AZ","Phoenix","Maricopa","Gilbert",3593,266300,0.00756715853197125,0.025808936825886,0.0609561752988048,0.0895932764059524,0.00890799534895814,"2006-04","2006-Q2",270200,-0.0144337527757217,"2006-01"
