"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Newport, OR","OR",526,1419,-0.00490883590462833,-0.0152671755725191,0.0815548780487805,21662
2017-09-30,"Bellefontaine, OH","OH",527,1091,-0.00182982616651418,-0.00274223034734918,0.0430210325047801,15349
2017-09-30,"McAlester, OK","OK",528,848,-0.00469483568075117,0.004739336492891,-0.0363636363636364,14573
2017-09-30,"Blackfoot, ID","ID",529,1084,0.0111940298507463,0.0413064361191162,0.0982776089159068,11065
2017-09-30,"Henderson, NC","NC",530,904,0.00892857142857143,0.0168728908886389,-0.0022075055187638,5275
2017-09-30,"Coldwater, MI","MI",531,952,0,0.00740740740740741,-0.0072992700729927,17004
2017-09-30,"Rolla, MO","MO",532,790,0.00508905852417303,0.0422163588390501,0.0704607046070461,12896
2017-09-30,"Shelbyville, TN","TN",533,1177,0.00943396226415094,0.0243690165361184,0.0670897552130553,14285
2017-09-30,"Duncan, OK","OK",534,745,-0.00534045393858478,-0.00930851063829787,-0.0387096774193548,17246
2017-09-30,"Pullman, WA","WA",535,1185,-0.00919732441471572,-0.0565286624203822,-0.073494917904613,6752
2017-09-30,"Thomasville, GA","GA",536,996,-0.00100300902708124,0.0111675126903553,0.0618336886993603,10803
2017-09-30,"Bemidji, MN","MN",537,1266,0.00476190476190476,0.0103750997605746,0.0226171243941842,9628
2017-09-30,"Pahrump, NV","NV",538,1232,-0.00323624595469256,0.0139917695473251,0.0318257956448911,7947
2017-09-30,"Menomonie, WI","WI",539,1083,0.00463821892393321,-0.0073327222731439,-0.0199095022624434,13163
2017-09-30,"Rock Springs, WY","WY",540,1471,0.00409556313993174,0.0308339173090399,0.109351432880845,10953
2017-09-30,"Bucyrus, OH","OH",541,815,0,-0.00122549019607843,-0.021608643457383,15161
2017-09-30,"Bradford, PA","PA",542,911,-0.00654307524536532,-0.0130010834236186,-0.0853413654618474,12493
2017-09-30,"Bardstown, KY","KY",543,1037,0.00387221684414327,0.0216748768472906,0.0338983050847458,12284
2017-09-30,"Cornelia, GA","GA",544,1120,0.00628930817610063,0.011743450767841,0.050656660412758,20503
2017-09-30,"Muscatine, IA","IA",545,1130,0.000885739592559787,0.006233303650935,0.00892857142857143,12110
2017-09-30,"Alma, MI","MI",546,849,0,0.00473372781065089,0.0303398058252427,11134
2017-09-30,"Durant, OK","OK",547,951,0.00848356309650053,0.0281081081081081,0.0450549450549451,10325
2017-09-30,"Seymour, IN","IN",548,989,0.00712830957230143,0.0312825860271116,-0.011,12469
2017-09-30,"Willmar, MN","MN",549,1240,0.00404858299595142,0.00813008130081301,-0.0150913423351867,13144
